"","Year","Month","Day","Site","Depth","Transect","Observer","Species_Code","Coral_genus","Coral_spp","length","width","height","coral_SA"
"32",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","PAST","Porites","astreoides","30","","15",NA
"33",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","PSTR","Pseudodiploria","strigosa","10","","5",NA
"34",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","PSTR","Pseudodiploria","strigosa","10","","5",NA
"35",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","OFAV","Orbicella","faveolata","90","","60",NA
"36",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","AAGA","Agaricia","agaricites","80","","20",NA
"37",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","OANN","Orbicella","annularis","35","","60",NA
"38",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","MILL","Millepora",NA,"30","","35",NA
"39",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","AAGA","Agaricia","agaricites","25","","10",NA
"40",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","AAGA","Agaricia","agaricites","15","","15",NA
"41",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","AAGA","Agaricia","agaricites","40","","20",NA
"42",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","AAGA","Agaricia","agaricites","20","","20",NA
"43",1999,NA,NA,"Grundy's  Gardens ",9.8,"5","CK","PPOR","Porites","porites","30","","10",NA
"44",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","OANN","Orbicella","annularis","50","","30",NA
"45",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","AAGA","Agaricia","agaricites","30","","5",NA
"46",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","AAGA","Agaricia","agaricites","25","","10",NA
"47",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","MILL","Millepora",NA,"30","","20",NA
"48",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","AAGA","Agaricia","agaricites","35","","25",NA
"49",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","MILL","Millepora",NA,"30","","20",NA
"50",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","AAGA","Agaricia","agaricites","30","","20",NA
"51",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","PPOR","Porites","porites","25","","10",NA
"52",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","MILL","Millepora",NA,"20","","15",NA
"53",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","AAGA","Agaricia","agaricites","20","","10",NA
"54",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","OANN","Orbicella","annularis","40","","20",NA
"55",1999,NA,NA,"Grundy's  Gardens ",9,"6","CK","OFAV","Orbicella","faveolata","210","","170",NA
"56",1999,NA,NA,"Grundy's  Gardens ",9.5,"7","CK","OFAV","Orbicella","faveolata","110","","90",NA
"57",1999,NA,NA,"Grundy's  Gardens ",9.5,"7","CK","OFAV","Orbicella","faveolata","220","","180",NA
"58",1999,NA,NA,"Grundy's  Gardens ",9.5,"7","CK","AAGA","Agaricia","agaricites","30","","10",NA
"59",1999,NA,NA,"Grundy's  Gardens ",9.5,"7","CK","OANN","Orbicella","annularis","15","","10",NA
"60",1999,NA,NA,"Grundy's  Gardens ",9.5,"7","CK","OANN","Orbicella","annularis","50","","60",NA
"61",1999,NA,NA,"Grundy's  Gardens ",9.5,"7","CK","AAGA","Agaricia","agaricites","15","","10",NA
"62",1999,NA,NA,"Grundy's  Gardens ",9.5,"7","CK","OANN","Orbicella","annularis","10","","5",NA
"63",1999,NA,NA,"Grundy's  Gardens ",9.5,"7","CK","AAGA","Agaricia","agaricites","25","","10",NA
"64",1999,NA,NA,"Grundy's  Gardens ",8,"8","BR","OFAV","Orbicella","faveolata","60","","70",NA
"65",1999,NA,NA,"Grundy's  Gardens ",8,"8","BR","OFAV","Orbicella","faveolata","200","","250",NA
"66",1999,NA,NA,"Grundy's  Gardens ",8,"8","BR","OFAV","Orbicella","faveolata","400","","150",NA
"67",1999,NA,NA,"Grundy's  Gardens ",8,"8","BR","OANN","Orbicella","annularis","120","","70",NA
"68",1999,NA,NA,"Grundy's  Gardens ",10,"8","BR","OANN","Orbicella","annularis","60","","40",NA
"69",1999,NA,NA,"Grundy's  Gardens ",8,"9","BR","OFAV","Orbicella","faveolata","150","","100",NA
"70",1999,NA,NA,"Grundy's  Gardens ",8,"9","BR","OFAV","Orbicella","faveolata","100","","70",NA
"71",1999,NA,NA,"Grundy's  Gardens ",8,"9","BR","MARE","Manicina","areolata","20","","5",NA
"72",1999,NA,NA,"Grundy's  Gardens ",8,"9","BR","OFAV","Orbicella","faveolata","160","","140",NA
"73",1999,NA,NA,"Grundy's  Gardens ",8,"9","BR","AAGA","Agaricia","agaricites","20","","10",NA
"74",1999,NA,NA,"Grundy's  Gardens ",10,"9","BR","OFAV","Orbicella","faveolata","90","","60",NA
"75",1999,NA,NA,"Grundy's  Gardens ",7,"10","BR","OFAV","Orbicella","faveolata","100","","80",NA
"76",1999,NA,NA,"Grundy's  Gardens ",7,"10","BR","OFAV","Orbicella","faveolata","140","","100",NA
"77",1999,NA,NA,"Grundy's  Gardens ",7,"10","BR","OFAV","Orbicella","faveolata","170","","170",NA
"78",1999,NA,NA,"Grundy's  Gardens ",7,"10","BR","AAGA","Agaricia","agaricites","25","","25",NA
"79",1999,NA,NA,"Grundy's  Gardens ",7,"10","BR","OANN","Orbicella","annularis","40","","20",NA
"80",1999,NA,NA,"Grundy's  Gardens ",7,"10","BR","SSID","Siderastrea","siderea","60","","20",NA
"81",1999,NA,NA,"Grundy's  Gardens ",7,"10","BR","AAGA","Agaricia","agaricites","20","","20",NA
"82",1999,NA,NA,"Grundy's  Gardens ",7,"10","BR","AAGA","Agaricia","agaricites","30","","10",NA
"83",1999,NA,NA,"Grundy's  Gardens ",7,"10","BR","OANN","Orbicella","annularis","40","","30",NA
"84",1999,NA,NA,"Grundy's  Gardens ",8,"11","BR","PSTR","Pseudodiploria","strigosa","330","","390",NA
"85",1999,NA,NA,"Grundy's  Gardens ",8,"11","BR","OANN","Orbicella","annularis","230","","100",NA
"86",1999,NA,NA,"Grundy's  Gardens ",8,"11","BR","OANN","Orbicella","annularis","110","","30",NA
"87",1999,NA,NA,"Grundy's  Gardens ",8,"11","BR","CNAT","Colpophyllia","natans","130","","30",NA
"88",1999,NA,NA,"Grundy's  Gardens ",8,"11","BR","OFAV","Orbicella","faveolata","30","","10",NA
"89",1999,NA,NA,"Grundy's  Gardens ",8,"11","BR","AAGA","Agaricia","agaricites","40","","10",NA
"90",1999,NA,NA,"Grundy's  Gardens ",8,"11","BR","OANN","Orbicella","annularis","170","","20",NA
"91",1999,NA,NA,"West Point ",17,"1","BR","PAST","Porites","astreoides","35","","10",NA
"92",1999,NA,NA,"West Point ",17,"1","BR","AAGA","Agaricia","agaricites","30","","15",NA
"93",1999,NA,NA,"West Point ",17,"1","BR","MMEA","Meandrina","meandrites","60","","15",NA
"94",1999,NA,NA,"West Point ",17,"1","BR","OFAV","Orbicella","faveolata","90","","15",NA
"95",1999,NA,NA,"West Point ",17,"1","BR","PPOR","Porites","porites","70","","30",NA
"96",1999,NA,NA,"West Point ",17,"1","BR","PSTR","Pseudodiploria","strigosa","50","","20",NA
"97",1999,NA,NA,"West Point ",17,"1","BR","OFAV","Orbicella","faveolata","40","","20",NA
"98",1999,NA,NA,"West Point ",17,"1","BR","DLAB","Diploria","labyrinthiformis","35","","15",NA
"99",1999,NA,NA,"West Point ",17,"1","BR","AAGA","Agaricia","agaricites","40","","20",NA
"100",1999,NA,NA,"West Point ",17,"1","BR","AAGA","Agaricia","agaricites","50","","20",NA
"101",1999,NA,NA,"West Point ",17,"1","BR","MCAV","Montastraea","cavernosa","100","","140",NA
"102",1999,NA,NA,"West Point ",17,"1","BR","PPOR","Porites","porites","100","","30",NA
"103",1999,NA,NA,"West Point ",15,"2","BR","CNAT","Colpophyllia","natans","120","","150",NA
"104",1999,NA,NA,"West Point ",15,"2","BR","OANN","Orbicella","annularis","100","","30",NA
"105",1999,NA,NA,"West Point ",15,"2","BR","PSTR","Pseudodiploria","strigosa","60","","5",NA
"106",1999,NA,NA,"West Point ",15,"2","BR","OFAV","Orbicella","faveolata","30","","20",NA
"107",1999,NA,NA,"West Point ",15,"2","BR","OANN","Orbicella","annularis","30","","20",NA
"108",1999,NA,NA,"West Point ",15,"2","BR","OANN","Orbicella","annularis","40","","20",NA
"109",1999,NA,NA,"West Point ",15,"2","BR","MCAV","Montastraea","cavernosa","40","","20",NA
"110",1999,NA,NA,"West Point ",15,"2","BR","AAGA","Agaricia","agaricites","30","","20",NA
"111",1999,NA,NA,"West Point ",15,"2","BR","MCAV","Montastraea","cavernosa","60","","20",NA
"112",1999,NA,NA,"West Point ",15,"2","BR","OANN","Orbicella","annularis","35","","20",NA
"113",1999,NA,NA,"West Point ",14,"3","BR","OANN","Orbicella","annularis","35","","20",NA
"114",1999,NA,NA,"West Point ",14,"3","BR","AAGA","Agaricia","agaricites","30","","5",NA
"115",1999,NA,NA,"West Point ",14,"3","BR","CNAT","Colpophyllia","natans","50","","10",NA
"116",1999,NA,NA,"West Point ",14,"3","BR","OANN","Orbicella","annularis","70","","40",NA
"117",1999,NA,NA,"West Point ",14,"3","BR","PAST","Porites","astreoides","30","","10",NA
"118",1999,NA,NA,"West Point ",14,"3","BR","OANN","Orbicella","annularis","30","","20",NA
"119",1999,NA,NA,"West Point ",14,"3","BR","AAGA","Agaricia","agaricites","40","","10",NA
"120",1999,NA,NA,"West Point ",14,"3","BR","OANN","Orbicella","annularis","40","","30",NA
"121",1999,NA,NA,"West Point ",14,"3","BR","SSID","Siderastrea","siderea","30","","10",NA
"122",1999,NA,NA,"West Point ",14,"3","BR","SSID","Siderastrea","siderea","40","","10",NA
"123",1999,NA,NA,"West Point ",14,"3","BR","MCAV","Montastraea","cavernosa","50","","30",NA
"124",1999,NA,NA,"West Point ",16,"4","BR","MCAV","Montastraea","cavernosa","40","","30",NA
"125",1999,NA,NA,"West Point ",16,"4","BR","OFRA","Orbicella","franksi","50","","40",NA
"126",1999,NA,NA,"West Point ",16,"4","BR","MCAV","Montastraea","cavernosa","30","","20",NA
"127",1999,NA,NA,"West Point ",16,"4","BR","OANN","Orbicella","annularis","40","","20",NA
"128",1999,NA,NA,"West Point ",16,"4","BR","PAST","Porites","astreoides","25","","10",NA
"129",1999,NA,NA,"West Point ",16,"4","BR","DLAB","Diploria","labyrinthiformis","50","","20",NA
"130",1999,NA,NA,"West Point ",16,"4","BR","PAST","Porites","astreoides","30","","20",NA
"131",1999,NA,NA,"West Point ",16,"4","BR","OFRA","Orbicella","franksi","50","","20",NA
"132",1999,NA,NA,"West Point ",16,"4","BR","PPOR","Porites","porites","60","","30",NA
"133",1999,NA,NA,"West Point ",16,"4","BR","MCAV","Montastraea","cavernosa","100","","20",NA
"134",1999,NA,NA,"West Point ",14,"5","BR","MARE","Manicina","areolata","25","","5",NA
"135",1999,NA,NA,"West Point ",14,"5","BR","MCAV","Montastraea","cavernosa","30","","10",NA
"136",1999,NA,NA,"West Point ",14,"5","BR","OANN","Orbicella","annularis","25","","30",NA
"137",1999,NA,NA,"West Point ",14,"5","BR","OANN","Orbicella","annularis","25","","20",NA
"138",1999,NA,NA,"West Point ",14,"5","BR","AAGA","Agaricia","agaricites","30","","5",NA
"139",1999,NA,NA,"West Point ",14,"5","BR","PAST","Porites","astreoides","30","","5",NA
"140",1999,NA,NA,"West Point ",14,"5","BR","OANN","Orbicella","annularis","80","","40",NA
"141",1999,NA,NA,"West Point ",14,"5","BR","CNAT","Colpophyllia","natans","100","","70",NA
"142",1999,NA,NA,"West Point ",14,"5","BR","OANN","Orbicella","annularis","40","","20",NA
"143",1999,NA,NA,"West Point ",14,"5","BR","MCAV","Montastraea","cavernosa","100","","60",NA
"144",1999,NA,NA,"West Point ",12,"6","RG","CNAT","Colpophyllia","natans","140","","80",NA
"145",1999,NA,NA,"West Point ",12,"6","RG","OANN","Orbicella","annularis","60","","25",NA
"146",1999,NA,NA,"West Point ",12,"6","RG","DSTO","Dichocoenia","stokesii","25","","5",NA
"147",1999,NA,NA,"West Point ",12,"6","RG","OFAV","Orbicella","faveolata","30","","20",NA
"148",1999,NA,NA,"West Point ",12,"6","RG","MCAV","Montastraea","cavernosa","40","","35",NA
"149",1999,NA,NA,"West Point ",12,"6","RG","DLAB","Diploria","labyrinthiformis","35","","25",NA
"150",1999,NA,NA,"West Point ",12,"6","RG","MCAV","Montastraea","cavernosa","3","","25",NA
"151",1999,NA,NA,"West Point ",12,"6","RG","MCAV","Montastraea","cavernosa","60","","45",NA
"152",1999,NA,NA,"West Point ",12,"6","RG","SSID","Siderastrea","siderea","50","","25",NA
"153",1999,NA,NA,"West Point ",13,"6","RG","PSTR","Pseudodiploria","strigosa","70","","50",NA
"154",1999,NA,NA,"West Point ",13,"7","RG","AAGA","Agaricia","agaricites","30","","25",NA
"155",1999,NA,NA,"West Point ",13,"7","RG","OFAV","Orbicella","faveolata","40","","20",NA
"156",1999,NA,NA,"West Point ",13,"7","RG","MCAV","Montastraea","cavernosa","30","","25",NA
"157",1999,NA,NA,"West Point ",13,"7","RG","PAST","Porites","astreoides","25","","5",NA
"158",1999,NA,NA,"West Point ",13,"7","RG","MCAV","Montastraea","cavernosa","45","","20",NA
"159",1999,NA,NA,"West Point ",13,"7","RG","AAGA","Agaricia","agaricites","25","","10",NA
"160",1999,NA,NA,"West Point ",13,"7","RG","OFAV","Orbicella","faveolata","45","","25",NA
"161",1999,NA,NA,"West Point ",13,"7","RG","OFAV","Orbicella","faveolata","25","","10",NA
"162",1999,NA,NA,"West Point ",13,"7","RG","DLAB","Diploria","labyrinthiformis","35","","30",NA
"163",1999,NA,NA,"West Point ",13,"7","RG","DLAB","Diploria","labyrinthiformis","45","","40",NA
"164",1999,NA,NA,"West Point ",13,"8","RG","MCAV","Montastraea","cavernosa","25","","5",NA
"165",1999,NA,NA,"West Point ",13,"8","RG","AAGA","Agaricia","agaricites","25","","30",NA
"166",1999,NA,NA,"West Point ",13,"8","RG","MCAV","Montastraea","cavernosa","55","","25",NA
"167",1999,NA,NA,"West Point ",13,"8","RG","CNAT","Colpophyllia","natans","130","","55",NA
"168",1999,NA,NA,"West Point ",13,"8","RG","OFAV","Orbicella","faveolata","30","","10",NA
"169",1999,NA,NA,"West Point ",13,"8","RG","MMEA","Meandrina","meandrites","30","","10",NA
"170",1999,NA,NA,"West Point ",13,"8","RG","OFAV","Orbicella","faveolata","25","","5",NA
"171",1999,NA,NA,"West Point ",13,"8","RG","AAGA","Agaricia","agaricites","30","","35",NA
"172",1999,NA,NA,"West Point ",13,"8","RG","MCAV","Montastraea","cavernosa","30","","10",NA
"173",1999,NA,NA,"West Point ",14,"8","RG","MCAV","Montastraea","cavernosa","30","","30",NA
"174",1999,NA,NA,"West Point ",13,"9","RG","MCAV","Montastraea","cavernosa","60","","65",NA
"175",1999,NA,NA,"West Point ",13,"9","RG","MCAV","Montastraea","cavernosa","40","","45",NA
"176",1999,NA,NA,"West Point ",13,"9","RG","AAGA","Agaricia","agaricites","25","","10",NA
"177",1999,NA,NA,"West Point ",13,"9","RG","AAGA","Agaricia","agaricites","25","","15",NA
"178",1999,NA,NA,"West Point ",13,"9","RG","MCAV","Montastraea","cavernosa","30","","10",NA
"179",1999,NA,NA,"West Point ",13,"9","RG","SSID","Siderastrea","siderea","30","","15",NA
"180",1999,NA,NA,"West Point ",13,"9","RG","MCAV","Montastraea","cavernosa","35","","40",NA
"181",1999,NA,NA,"West Point ",13,"9","RG","DSTO","Dichocoenia","stokesii","30","","10",NA
"182",1999,NA,NA,"West Point ",13,"9","RG","OFAV","Orbicella","faveolata","80","","30",NA
"183",1999,NA,NA,"West Point ",13,"9","RG","PPOR","Porites","porites","35","","10",NA
"184",1999,NA,NA,"West Point ",13,"9","RG","OFAV","Orbicella","faveolata","40","","10",NA
"185",1999,NA,NA,"West Point ",15,"9","RG","AAGA","Agaricia","agaricites","55","","30",NA
"186",1999,NA,NA,"West Point ",14,"10","RG","SSID","Siderastrea","siderea","25","","10",NA
"187",1999,NA,NA,"West Point ",14,"10","RG","OFAV","Orbicella","faveolata","35","","10",NA
"188",1999,NA,NA,"West Point ",14,"10","RG","MCAV","Montastraea","cavernosa","40","","15",NA
"189",1999,NA,NA,"West Point ",14,"10","RG","SSID","Siderastrea","siderea","35","","20",NA
"190",1999,NA,NA,"West Point ",14,"10","RG","CNAT","Colpophyllia","natans","125","","40",NA
"191",1999,NA,NA,"West Point ",14,"10","RG","PSTR","Pseudodiploria","strigosa","40","","50",NA
"192",1999,NA,NA,"West Point ",14,"10","RG","OANN","Orbicella","annularis","40","","35",NA
"193",1999,NA,NA,"West Point ",14,"10","RG","AAGA","Agaricia","agaricites","25","","20",NA
"194",1999,NA,NA,"West Point ",14,"10","RG","PPOR","Porites","porites","40","","25",NA
"195",1999,NA,NA,"West Point ",14,"10","RG","MCAV","Montastraea","cavernosa","35","","45",NA
"196",1999,NA,NA,"West Point ",14,"10","RG","PPOR","Porites","porites","20","","10",NA
"197",1999,NA,NA,"Coral City ",8,"1","BR","OFAV","Orbicella","faveolata","100","","90",NA
"198",1999,NA,NA,"Coral City ",8,"1","BR","OANN","Orbicella","annularis","110","","60",NA
"199",1999,NA,NA,"Coral City ",8,"1","BR","OANN","Orbicella","annularis","140","","60",NA
"200",1999,NA,NA,"Coral City ",8,"1","BR","OANN","Orbicella","annularis","100","","60",NA
"201",1999,NA,NA,"Coral City ",8,"1","BR","OANN","Orbicella","annularis","100","","50",NA
"202",1999,NA,NA,"Coral City ",8,"1","BR","OANN","Orbicella","annularis","90","","40",NA
"203",1999,NA,NA,"Coral City ",8,"1","BR","MILL","Millepora",NA,"100","","80",NA
"204",1999,NA,NA,"Coral City ",8,"1","BR","OANN","Orbicella","annularis","25","","20",NA
"205",1999,NA,NA,"Coral City ",8,"1","BR","APAL","Acropora","palmata","160","","100",NA
"206",1999,NA,NA,"Coral City ",10,"1","BR","APAL","Acropora","palmata","130","","20",NA
"207",1999,NA,NA,"Coral City ",10,"2","BR","OFAV","Orbicella","faveolata","40","","30",NA
"208",1999,NA,NA,"Coral City ",10,"2","BR","OFAV","Orbicella","faveolata","130","","70",NA
"209",1999,NA,NA,"Coral City ",10,"2","BR","AAGA","Agaricia","agaricites","30","","10",NA
"210",1999,NA,NA,"Coral City ",10,"2","BR","AAGA","Agaricia","agaricites","40","","20",NA
"211",1999,NA,NA,"Coral City ",10,"2","BR","PSTR","Pseudodiploria","strigosa","25","","15",NA
"212",1999,NA,NA,"Coral City ",10,"2","BR","OANN","Orbicella","annularis","20","","10",NA
"213",1999,NA,NA,"Coral City ",10,"2","BR","PPOR","Porites","porites","40","","10",NA
"214",1999,NA,NA,"Coral City ",10,"2","BR","APAL","Acropora","palmata","140","","100",NA
"215",1999,NA,NA,"Coral City ",10,"2","BR","APAL","Acropora","palmata","70","","80",NA
"216",1999,NA,NA,"Coral City ",10,"2","BR","NA","NA",NA,"35","","25",NA
"217",1999,NA,NA,"Coral City ",12,"3","BR","PPOR","Porites","porites","50","","20",NA
"218",1999,NA,NA,"Coral City ",12,"3","BR","OFAV","Orbicella","faveolata","120","","100",NA
"219",1999,NA,NA,"Coral City ",12,"3","BR","OANN","Orbicella","annularis","30","","20",NA
"220",1999,NA,NA,"Coral City ",12,"3","BR","OANN","Orbicella","annularis","25","","15",NA
"221",1999,NA,NA,"Coral City ",12,"3","BR","PPOR","Porites","porites","30","","20",NA
"222",1999,NA,NA,"Coral City ",12,"3","BR","OFRA","Orbicella","franksi","40","","50",NA
"223",1999,NA,NA,"Coral City ",12,"3","BR","OFRA","Orbicella","franksi","90","","40",NA
"224",1999,NA,NA,"Coral City ",12,"3","BR","OANN","Orbicella","annularis","30","","10",NA
"225",1999,NA,NA,"Coral City ",12,"3","BR","OANN","Orbicella","annularis","30","","10",NA
"226",1999,NA,NA,"Coral City ",9,"4","BR","APAL","Acropora","palmata","240","","120",NA
"227",1999,NA,NA,"Coral City ",9,"4","BR","MILL","Millepora",NA,"30","","20",NA
"228",1999,NA,NA,"Coral City ",9,"4","BR","MCAV","Montastraea","cavernosa","30","","20",NA
"229",1999,NA,NA,"Coral City ",9,"4","BR","AAGA","Agaricia","agaricites","35","","20",NA
"230",1999,NA,NA,"Coral City ",9,"4","BR","OANN","Orbicella","annularis","50","","40",NA
"231",1999,NA,NA,"Coral City ",9,"4","BR","PPOR","Porites","porites","50","","20",NA
"232",1999,NA,NA,"Coral City ",9,"4","BR","APAL","Acropora","palmata","300","","150",NA
"233",1999,NA,NA,"Coral City ",9,"4","BR","PAST","Porites","astreoides","30","","20",NA
"234",1999,NA,NA,"Coral City ",9,"4","BR","EFAS","Eusmilia","fastigiata","30","","10",NA
"235",1999,NA,NA,"Coral City ",9,"4","BR","APAL","Acropora","palmata","90","","60",NA
"236",1999,NA,NA,"Coral City ",9,"5","BR","OFAV","Orbicella","faveolata","120","","100",NA
"237",1999,NA,NA,"Coral City ",9,"5","BR","PPOR","Porites","porites","40","","30",NA
"238",1999,NA,NA,"Coral City ",9,"5","BR","PPOR","Porites","porites","30","","10",NA
"239",1999,NA,NA,"Coral City ",9,"5","BR","AAGA","Agaricia","agaricites","30","","20",NA
"240",1999,NA,NA,"Coral City ",9,"5","BR","AAGA","Agaricia","agaricites","30","","20",NA
"241",1999,NA,NA,"Coral City ",9,"5","BR","OFAV","Orbicella","faveolata","100","","100",NA
"242",1999,NA,NA,"Coral City ",9,"5","BR","OANN","Orbicella","annularis","50","","40",NA
"243",1999,NA,NA,"Coral City ",9,"5","BR","CNAT","Colpophyllia","natans","60","","30",NA
"244",1999,NA,NA,"Coral City ",9,"5","BR","OANN","Orbicella","annularis","30","","10",NA
"245",1999,NA,NA,"Coral City ",9,"5","BR","OANN","Orbicella","annularis","30","","20",NA
"246",1999,NA,NA,"Coral City ",9,"5","BR","APAL","Acropora","palmata","90","","80",NA
"247",1999,NA,NA,"Coral City ",9.5,"6","CK","OANN","Orbicella","annularis","28","","35",NA
"248",1999,NA,NA,"Coral City ",9.5,"6","CK","OFAV","Orbicella","faveolata","65","","70",NA
"249",1999,NA,NA,"Coral City ",9.5,"6","CK","PSTR","Pseudodiploria","strigosa","40","","35",NA
"250",1999,NA,NA,"Coral City ",9.5,"6","CK","PSTR","Pseudodiploria","strigosa","40","","20",NA
"251",1999,NA,NA,"Coral City ",9.5,"6","CK","OANN","Orbicella","annularis","35","","25",NA
"252",1999,NA,NA,"Coral City ",9.5,"6","CK","OANN","Orbicella","annularis","30","","40",NA
"253",1999,NA,NA,"Coral City ",9.5,"6","CK","PSTR","Pseudodiploria","strigosa","35","","25",NA
"254",1999,NA,NA,"Coral City ",9.5,"6","CK","OFAV","Orbicella","faveolata","70","","30",NA
"255",1999,NA,NA,"Coral City ",9.5,"6","CK","PAST","Porites","astreoides","25","","20",NA
"256",1999,NA,NA,"Coral City ",9,"7","CK","MILL","Millepora",NA,"70","","60",NA
"257",1999,NA,NA,"Coral City ",9,"7","CK","OANN","Orbicella","annularis","60","","35",NA
"258",1999,NA,NA,"Coral City ",9,"7","CK","OANN","Orbicella","annularis","50","","50",NA
"259",1999,NA,NA,"Coral City ",9,"7","CK","SSID","Siderastrea","siderea","40","","10",NA
"260",1999,NA,NA,"Coral City ",9,"7","CK","PSTR","Pseudodiploria","strigosa","35","","24",NA
"261",1999,NA,NA,"Coral City ",9,"7","CK","OANN","Orbicella","annularis","30","","30",NA
"262",1999,NA,NA,"Coral City ",9,"7","CK","AAGA","Agaricia","agaricites","70","","50",NA
"263",1999,NA,NA,"Coral City ",9,"7","CK","PAST","Porites","astreoides","15","","2",NA
"264",1999,NA,NA,"Coral City ",9,"7","CK","OFAV","Orbicella","faveolata","25","","10",NA
"265",1999,NA,NA,"Coral City ",9,"7","CK","SSID","Siderastrea","siderea","25","","10",NA
