"","date","year","month","day","site","mpa","observer","transect","common_name","sizeclass","count","fish_spp","common_family","foodweb","a","b","biomass","density"
"68","",2018,NA,NA,"Coral City","Outside",NA,7,"Black durgeon",40,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2636.44972","0.066666667"
"69","",2018,NA,NA,"Coral City","Outside",NA,8,"Black durgeon",30,"4","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2263.23475","0.133333333"
"70","",2018,NA,NA,"West Point","Outside",NA,3,"Black durgeon",30,"20","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","11316.17377","0.666666667"
"71","",2018,NA,NA,"West Point","Outside",NA,8,"Black durgeon",30,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1131.61738","0.066666667"
"72","",2018,NA,NA,"West Point","Outside",NA,11,"Black durgeon",20,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","171.77554","0.033333333"
"73","",2018,NA,NA,"Grundy's Gardens","Inside ",NA,6,"Black durgeon",30,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1131.61738","0.066666667"
"74","",2018,NA,NA,"Grundy's Gardens","Inside ",NA,9,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"75","",2018,NA,NA,"Grundy's Gardens","Inside ",NA,10,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"76","",2018,NA,NA,"Meadows","Inside ",NA,8,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"77","",2018,NA,NA,"Joy's Joy","Outside",NA,1,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"78","",2018,NA,NA,"Joy's Joy","Outside",NA,2,"Black durgeon",20,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","171.77554","0.033333333"
"79","",2018,NA,NA,"Joy's Joy","Outside",NA,2,"Black durgeon",30,"3","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1697.42607","0.1"
"80","",2018,NA,NA,"Joy's Joy","Outside",NA,2,"Black durgeon",40,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2636.44972","0.066666667"
"81","7/19/17",2017,NA,NA,"Grundy's Gardens","Inside ",NA,4,"Black Margate",50,"1","Anisotremus surinamensis","Grunt","Carnivore","0.0245","2.87","1841.6623","0.033333333"
"82","",2018,NA,NA,"West Point","Outside",NA,8,"Black Margate",30,"2","Anisotremus surinamensis","Grunt","Carnivore","0.0245","2.87","850.22541","0.066666667"
"83","",2018,NA,NA,"West Point","Outside",NA,9,"Black Margate",30,"2","Anisotremus surinamensis","Grunt","Carnivore","0.0245","2.87","850.22541","0.066666667"
"84","7/17/15",2015,NA,NA,"West Point","Outside",NA,1,"French Angelfish",40,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","2705.7873","0.033333333"
"85","",2018,NA,NA,"Coral City","Outside",NA,5,"French Angelfish",50,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","5237.78048","0.033333333"
"86","",2018,NA,NA,"Grundy's Gardens","Inside ",NA,8,"French Angelfish",20,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","347.73217","0.033333333"
"87","",2018,NA,NA,"Meadows","Inside ",NA,6,"French Angelfish",40,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","2705.7873","0.033333333"
"88","7/20/17",2017,NA,NA,"Coral City","Outside",NA,8,"Lionfish",10,"1","Pterois volitans","Scorpionfish","Carnivore","0.0049","3.26","8.91653","0.033333333"
"89","7/20/17",2017,NA,NA,"Coral City","Outside",NA,8,"Lionfish",20,"2","Pterois volitans","Scorpionfish","Carnivore","0.0049","3.26","170.83776","0.066666667"
"90","7/20/17",2017,NA,NA,"Coral City","Outside",NA,8,"Lionfish",30,"1","Pterois volitans","Scorpionfish","Carnivore","0.0049","3.26","320.34015","0.033333333"
"91","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,10,"Lionfish",30,"1","Pterois volitans","Scorpionfish","Carnivore","0.0049","3.26","320.34015","0.033333333"
"92","7/12/17",2017,NA,NA,"Sailfin","Outside",NA,8,"Lionfish",30,"1","Pterois volitans","Scorpionfish","Carnivore","0.0049","3.26","320.34015","0.033333333"
"93","",2018,NA,NA,"Lucas Ledge","Outside",NA,4,"Lionfish",40,"1","Pterois volitans","Scorpionfish","Carnivore","0.0049","3.26","818.29831","0.033333333"
"94","7/18/17",2017,NA,NA,"Martha's Finyard","Outside",NA,1,"Ocean triggerfish",40,"1","Canthidermis sufflamen","Triggerfish","Carnivore","0.0427","2.84","1514.53129","0.033333333"
"95","7/18/17",2017,NA,NA,"Martha's Finyard","Outside",NA,1,"Ocean triggerfish",50,"1","Canthidermis sufflamen","Triggerfish","Carnivore","0.0427","2.84","2854.32018","0.033333333"
"96","7/13/17",2017,NA,NA,"Meadows","Inside ",NA,10,"Ocean triggerfish",40,"1","Canthidermis sufflamen","Triggerfish","Carnivore","0.0427","2.84","1514.53129","0.033333333"
"97","7/18/17",2017,NA,NA,"Martha's Finyard","Outside",NA,3,"Ocean triggerfish",40,"1","Canthidermis sufflamen","Triggerfish","Carnivore","0.0427","2.84","1514.53129","0.033333333"
"98","7/18/17",2017,NA,NA,"Martha's Finyard","Outside",NA,3,"Ocean triggerfish",50,"1","Canthidermis sufflamen","Triggerfish","Carnivore","0.0427","2.84","2854.32018","0.033333333"
"99","",2018,NA,NA,"Lucas Ledge","Outside",NA,12,"Ocean triggerfish",40,"2","Canthidermis sufflamen","Triggerfish","Carnivore","0.0427","2.84","3029.06258","0.066666667"
"100","",2018,NA,NA,"West Point","Outside",NA,4,"Permit",50,"1","Trachinotus falcatus","Jack","Carnivore","0.0209","2.91","1837.16854","0.033333333"
"101","",2018,NA,NA,"West Point","Outside",NA,6,"Permit",50,"7","Trachinotus falcatus","Jack","Carnivore","0.0209","2.91","12860.17975","0.233333333"
"102","",2018,NA,NA,"Meadows","Inside ",NA,1,"Permit",50,"1","Trachinotus falcatus","Jack","Carnivore","0.0209","2.91","1837.16854","0.033333333"
"103","",2018,NA,NA,"Meadows","Inside ",NA,7,"Permit",50,"1","Trachinotus falcatus","Jack","Carnivore","0.0209","2.91","1837.16854","0.033333333"
"104","7/12/17",2017,NA,NA,"ICON","Inside ",NA,4,"Queen triggerfish",40,"1","Balistes vetula","Triggerfish","Carnivore","0.0398","2.88","1636.12261","0.033333333"
"105","7/12/17",2017,NA,NA,"ICON","Inside ",NA,9,"Queen triggerfish",50,"1","Balistes vetula","Triggerfish","Carnivore","0.0398","2.88","3111.11944","0.033333333"
"106","",2018,NA,NA,"Coral City","Outside",NA,3,"Queen triggerfish",50,"1","Balistes vetula","Triggerfish","Carnivore","0.0398","2.88","3111.11944","0.033333333"
"107","",2018,NA,NA,"Coral City","Outside",NA,7,"Queen triggerfish",40,"1","Balistes vetula","Triggerfish","Carnivore","0.0398","2.88","1636.12261","0.033333333"
"108","",2018,NA,NA,"West Point","Outside",NA,3,"Queen triggerfish",40,"2","Balistes vetula","Triggerfish","Carnivore","0.0398","2.88","3272.24523","0.066666667"
"109","",2018,NA,NA,"West Point","Outside",NA,4,"Queen triggerfish",40,"1","Balistes vetula","Triggerfish","Carnivore","0.0398","2.88","1636.12261","0.033333333"
"110","",2018,NA,NA,"Jigsaw","Outside",NA,9,"Queen triggerfish",50,"1","Balistes vetula","Triggerfish","Carnivore","0.0398","2.88","3111.11944","0.033333333"
"111","7/19/15",2015,NA,NA,"Meadows","Inside ",NA,8,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"112","7/15/15",2015,NA,NA,"Snapshot","Outside",NA,9,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"113","7/17/15",2015,NA,NA,"West Point","Outside",NA,1,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"114","7/17/15",2015,NA,NA,"West Point","Outside",NA,4,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"115","7/20/17",2017,NA,NA,"Coral City","Outside",NA,5,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"116","7/19/17",2017,NA,NA,"Grundy's Gardens","Inside ",NA,2,"Rock beauty Angelfish",10,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","29.50041","0.033333333"
"117","7/12/17",2017,NA,NA,"ICON","Inside ",NA,7,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"118","7/12/17",2017,NA,NA,"ICON","Inside ",NA,8,"Rock beauty Angelfish",30,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","753.93811","0.033333333"
"119","7/18/17",2017,NA,NA,"Jigsaw","Outside",NA,2,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"120","7/18/17",2017,NA,NA,"Martha's Finyard","Outside",NA,8,"Rock beauty Angelfish",20,"2","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","455.92822","0.066666667"
"121","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,4,"Rock beauty Angelfish",30,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","753.93811","0.033333333"
"122","7/17/17",2017,NA,NA,"Pauls Anchors","Inside ",NA,1,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"123","7/12/17",2017,NA,NA,"Snapshot","Outside",NA,6,"Rock beauty Angelfish",10,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","29.50041","0.033333333"
"124","7/19/17",2017,NA,NA,"West Point","Outside",NA,10,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"125","7/19/17",2017,NA,NA,"West Point","Outside",NA,6,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"126","",2018,NA,NA,"Lucas Ledge","Outside",NA,6,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"127","",2018,NA,NA,"Coral City","Outside",NA,8,"Rock beauty Angelfish",30,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","753.93811","0.033333333"
"128","",2018,NA,NA,"West Point","Outside",NA,2,"Rock beauty Angelfish",40,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","1761.59054","0.033333333"
"129","",2018,NA,NA,"West Point","Outside",NA,3,"Rock beauty Angelfish",30,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","753.93811","0.033333333"
"130","",2018,NA,NA,"West Point","Outside",NA,4,"Rock beauty Angelfish",40,"2","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","3523.18107","0.066666667"
"131","",2018,NA,NA,"Jigsaw","Outside",NA,1,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"132","",2018,NA,NA,"Jigsaw","Outside",NA,3,"Rock beauty Angelfish",20,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","227.96411","0.033333333"
"133","",2018,NA,NA,"Jigsaw","Outside",NA,4,"Rock beauty Angelfish",10,"1","Holacanthus tricolor","Angelfish","Omnivore","0.0331","2.95","29.50041","0.033333333"
"134","7/18/15",2015,NA,NA,"Mixing Bowl","Inside ",NA,7,"Saucereye Porgy",30,"1","Calamus calamus","Porgy","Carnivore","0.0288","2.89","534.90039","0.033333333"
"135","7/18/17",2017,NA,NA,"Jigsaw","Outside",NA,8,"Saucereye Porgy",30,"1","Calamus calamus","Porgy","Carnivore","0.0288","2.89","534.90039","0.033333333"
"136","7/17/17",2017,NA,NA,"Pauls Anchors","Inside ",NA,7,"Saucereye porgy",40,"1","Calamus calamus","Porgy","Carnivore","0.0288","2.89","1228.41713","0.033333333"
"137","",2018,NA,NA,"Joy's Joy","Outside",NA,4,"Saucereye Porgy",50,"1","Calamus calamus","Porgy","Carnivore","0.0288","2.89","2341.07755","0.033333333"
"138","",2014,NA,NA,"Grundy's Gardens","Inside ",NA,8,"French angelfish",20,"2","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","695.46433","0.066666667"
"139","",1999,NA,NA,"Blacktip Tunnels","Outside",NA,1,"French Angelfish",10,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","44.68853","0.033333333"
"140","",1999,NA,NA,"Coral City","Outside",NA,2,"French Angelfish",5,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","5.74311","0.033333333"
"141","",1999,NA,NA,"Coral City","Outside",NA,6,"French Angelfish",20,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","347.73217","0.033333333"
"142","",1999,NA,NA,"Coral City","Outside",NA,9,"French Angelfish",5,"2","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","11.48622","0.066666667"
"143","",1999,NA,NA,"Coral City","Outside",NA,9,"French Angelfish",10,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","44.68853","0.033333333"
"144","",1999,NA,NA,"Coral City","Outside",NA,9,"French Angelfish",20,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","347.73217","0.033333333"
"145","",1999,NA,NA,"Coral City","Outside",NA,10,"French Angelfish",10,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","44.68853","0.033333333"
"146","",1999,NA,NA,"Coral City","Outside",NA,10,"French Angelfish",20,"3","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","1043.1965","0.1"
"147","",1999,NA,NA,"Coral City","Outside",NA,11,"French Angelfish",10,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","44.68853","0.033333333"
"148","",1999,NA,NA,"Grundy's Gardens","Inside ",NA,7,"French Angelfish",5,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","5.74311","0.033333333"
"149","",1999,NA,NA,"Grundy's Gardens","Inside ",NA,8,"French Angelfish",5,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","5.74311","0.033333333"
"150","",1999,NA,NA,"Grundy's Gardens","Inside ",NA,10,"French Angelfish",5,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","5.74311","0.033333333"
"151","",1999,NA,NA,"Jigsaw","Outside",NA,1,"French Angelfish",20,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","347.73217","0.033333333"
"152","",1999,NA,NA,"Jigsaw","Outside",NA,1,"French Angelfish",20,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","347.73217","0.033333333"
"153","",1999,NA,NA,"Jigsaw","Outside",NA,1,"French Angelfish",30,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","1154.7155","0.033333333"
"154","",1999,NA,NA,"Jigsaw","Outside",NA,2,"French Angelfish",5,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","5.74311","0.033333333"
"155","",1999,NA,NA,"Jigsaw","Outside",NA,2,"French Angelfish",10,"1","Pomacanthus paru","Angelfish","Omnivore","0.049","2.96","44.68853","0.033333333"
