year,month,day,site,mpa,observer,transect,common_name,sizeclass,count,fish_spp,common_family,foodweb,a,b,biomass,density,Site_Name
2017,NA,NA,Mixing Bowl,Inside ,NA,6,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Sailfin Miniwall
2017,NA,NA,Mixing Bowl,Inside ,NA,9,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Sailfin Miniwall
2017,NA,NA,Mixing Bowl,Inside ,NA,9,Black durgeon,40,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2636.44972,0.066666667,Sailfin Miniwall
2017,NA,NA,Mixing Bowl,Inside ,NA,10,Black durgeon,40,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2636.44972,0.066666667,Sailfin Miniwall
2017,NA,NA,Pauls Anchors,Inside ,NA,1,Black durgeon,30,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1131.61738,0.066666667,Paul's Anchor
2017,NA,NA,Pauls Anchors,Inside ,NA,3,Black durgeon,30,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1131.61738,0.066666667,Paul's Anchor
2017,NA,NA,Pauls Anchors,Inside ,NA,6,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Paul's Anchor
2017,NA,NA,Pauls Anchors,Inside ,NA,8,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Paul's Anchor
2017,NA,NA,Pauls Anchors,Inside ,NA,8,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Paul's Anchor
2017,NA,NA,Sailfin,Outside,NA,4,Black durgeon,30,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1131.61738,0.066666667,Sailfin Reef
2017,NA,NA,Snapshot,Outside,NA,8,Black durgeon,30,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1131.61738,0.066666667,Snap Shot
2017,NA,NA,Snapshot,Outside,NA,1,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Snap Shot
2017,NA,NA,Snapshot,Outside,NA,6,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Snap Shot
2017,NA,NA,Mixing Bowl,Inside ,NA,8,Black durgeon,20,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,171.77554,0.033333333,Sailfin Miniwall
2017,NA,NA,Mixing Bowl,Inside ,NA,8,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Sailfin Miniwall
2017,NA,NA,Mixing Bowl,Inside ,NA,8,Black durgeon,40,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2636.44972,0.066666667,Sailfin Miniwall
2017,NA,NA,Mixing Bowl,Inside ,NA,1,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Sailfin Miniwall
2017,NA,NA,West Point,Outside,NA,10,Black durgeon,30,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1131.61738,0.066666667,West Point
2017,NA,NA,West Point,Outside,NA,10,Black durgeon,40,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2636.44972,0.066666667,West Point
2017,NA,NA,West Point,Outside,NA,6,Black durgeon,30,4,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2263.23475,0.133333333,West Point
2017,NA,NA,West Point,Outside,NA,6,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,West Point
2018,NA,NA,Lucas Ledge,Outside,NA,1,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Luca's Ledges
2018,NA,NA,Lucas Ledge,Outside,NA,1,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Luca's Ledges
2018,NA,NA,Lucas Ledge,Outside,NA,2,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Luca's Ledges
2018,NA,NA,Lucas Ledge,Outside,NA,4,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Luca's Ledges
2018,NA,NA,Lucas Ledge,Outside,NA,7,Black durgeon,30,5,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2829.04344,0.166666667,Luca's Ledges
2018,NA,NA,Lucas Ledge,Outside,NA,11,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Luca's Ledges
2018,NA,NA,Lucas Ledge,Outside,NA,12,Black durgeon,30,3,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1697.42607,0.1,Luca's Ledges
2018,NA,NA,Lucas Ledge,Outside,NA,13,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Luca's Ledges
2018,NA,NA,Lucas Ledge,Outside,NA,14,Black durgeon,30,4,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2263.23475,0.133333333,Luca's Ledges
2018,NA,NA,Coral City,Outside,NA,1,Black durgeon,20,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,171.77554,0.033333333,Coral City
2018,NA,NA,Coral City,Outside,NA,2,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Coral City
2018,NA,NA,Coral City,Outside,NA,3,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Coral City
2018,NA,NA,Coral City,Outside,NA,5,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Coral City
2018,NA,NA,Coral City,Outside,NA,7,Black durgeon,20,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,343.55107,0.066666667,Coral City
2018,NA,NA,Coral City,Outside,NA,7,Black durgeon,40,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2636.44972,0.066666667,Coral City
2018,NA,NA,Coral City,Outside,NA,8,Black durgeon,30,4,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2263.23475,0.133333333,Coral City
2018,NA,NA,West Point,Outside,NA,3,Black durgeon,30,20,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,11316.17377,0.666666667,West Point
2018,NA,NA,West Point,Outside,NA,8,Black durgeon,30,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1131.61738,0.066666667,West Point
2018,NA,NA,West Point,Outside,NA,11,Black durgeon,20,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,171.77554,0.033333333,West Point
2018,NA,NA,Grundy's Gardens,Inside ,NA,6,Black durgeon,30,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1131.61738,0.066666667,Grundy's Gardens
2018,NA,NA,Grundy's Gardens,Inside ,NA,9,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Grundy's Gardens
2018,NA,NA,Grundy's Gardens,Inside ,NA,10,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Grundy's Gardens
2018,NA,NA,Meadows,Inside ,NA,8,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,The Meadows
2018,NA,NA,Joy's Joy,Outside,NA,1,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Joy's Joy
2018,NA,NA,Joy's Joy,Outside,NA,2,Black durgeon,20,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,171.77554,0.033333333,Joy's Joy
2018,NA,NA,Joy's Joy,Outside,NA,2,Black durgeon,30,3,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1697.42607,0.1,Joy's Joy
2018,NA,NA,Joy's Joy,Outside,NA,2,Black durgeon,40,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2636.44972,0.066666667,Joy's Joy
2017,NA,NA,Grundy's Gardens,Inside ,NA,4,Black Margate,50,1,Anisotremus surinamensis,Grunt,Carnivore,0.0245,2.87,1841.6623,0.033333333,Grundy's Gardens
2018,NA,NA,West Point,Outside,NA,8,Black Margate,30,2,Anisotremus surinamensis,Grunt,Carnivore,0.0245,2.87,850.22541,0.066666667,West Point
2018,NA,NA,West Point,Outside,NA,9,Black Margate,30,2,Anisotremus surinamensis,Grunt,Carnivore,0.0245,2.87,850.22541,0.066666667,West Point
2015,NA,NA,West Point,Outside,NA,1,French Angelfish,40,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,2705.7873,0.033333333,West Point
2018,NA,NA,Coral City,Outside,NA,5,French Angelfish,50,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,5237.78048,0.033333333,Coral City
2018,NA,NA,Grundy's Gardens,Inside ,NA,8,French Angelfish,20,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,347.73217,0.033333333,Grundy's Gardens
2018,NA,NA,Meadows,Inside ,NA,6,French Angelfish,40,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,2705.7873,0.033333333,The Meadows
2017,NA,NA,Coral City,Outside,NA,8,Lionfish,10,1,Pterois volitans,Scorpionfish,Carnivore,0.0049,3.26,8.91653,0.033333333,Coral City
2017,NA,NA,Coral City,Outside,NA,8,Lionfish,20,2,Pterois volitans,Scorpionfish,Carnivore,0.0049,3.26,170.83776,0.066666667,Coral City
2017,NA,NA,Coral City,Outside,NA,8,Lionfish,30,1,Pterois volitans,Scorpionfish,Carnivore,0.0049,3.26,320.34015,0.033333333,Coral City
2017,NA,NA,Mixing Bowl,Inside ,NA,10,Lionfish,30,1,Pterois volitans,Scorpionfish,Carnivore,0.0049,3.26,320.34015,0.033333333,Sailfin Miniwall
2017,NA,NA,Sailfin,Outside,NA,8,Lionfish,30,1,Pterois volitans,Scorpionfish,Carnivore,0.0049,3.26,320.34015,0.033333333,Sailfin Reef
2018,NA,NA,Lucas Ledge,Outside,NA,4,Lionfish,40,1,Pterois volitans,Scorpionfish,Carnivore,0.0049,3.26,818.29831,0.033333333,Luca's Ledges
2017,NA,NA,Martha's Finyard,Outside,NA,1,Ocean triggerfish,40,1,Canthidermis sufflamen,Triggerfish,Carnivore,0.0427,2.84,1514.53129,0.033333333,Martha's Finyard
2017,NA,NA,Martha's Finyard,Outside,NA,1,Ocean triggerfish,50,1,Canthidermis sufflamen,Triggerfish,Carnivore,0.0427,2.84,2854.32018,0.033333333,Martha's Finyard
2017,NA,NA,Meadows,Inside ,NA,10,Ocean triggerfish,40,1,Canthidermis sufflamen,Triggerfish,Carnivore,0.0427,2.84,1514.53129,0.033333333,The Meadows
2017,NA,NA,Martha's Finyard,Outside,NA,3,Ocean triggerfish,40,1,Canthidermis sufflamen,Triggerfish,Carnivore,0.0427,2.84,1514.53129,0.033333333,Martha's Finyard
2017,NA,NA,Martha's Finyard,Outside,NA,3,Ocean triggerfish,50,1,Canthidermis sufflamen,Triggerfish,Carnivore,0.0427,2.84,2854.32018,0.033333333,Martha's Finyard
2018,NA,NA,Lucas Ledge,Outside,NA,12,Ocean triggerfish,40,2,Canthidermis sufflamen,Triggerfish,Carnivore,0.0427,2.84,3029.06258,0.066666667,Luca's Ledges
2018,NA,NA,West Point,Outside,NA,4,Permit,50,1,Trachinotus falcatus,Jack,Carnivore,0.0209,2.91,1837.16854,0.033333333,West Point
2018,NA,NA,West Point,Outside,NA,6,Permit,50,7,Trachinotus falcatus,Jack,Carnivore,0.0209,2.91,12860.17975,0.233333333,West Point
2018,NA,NA,Meadows,Inside ,NA,1,Permit,50,1,Trachinotus falcatus,Jack,Carnivore,0.0209,2.91,1837.16854,0.033333333,The Meadows
2018,NA,NA,Meadows,Inside ,NA,7,Permit,50,1,Trachinotus falcatus,Jack,Carnivore,0.0209,2.91,1837.16854,0.033333333,The Meadows
2017,NA,NA,ICON,Inside ,NA,4,Queen triggerfish,40,1,Balistes vetula,Triggerfish,Carnivore,0.0398,2.88,1636.12261,0.033333333,Icon
2017,NA,NA,ICON,Inside ,NA,9,Queen triggerfish,50,1,Balistes vetula,Triggerfish,Carnivore,0.0398,2.88,3111.11944,0.033333333,Icon
2018,NA,NA,Coral City,Outside,NA,3,Queen triggerfish,50,1,Balistes vetula,Triggerfish,Carnivore,0.0398,2.88,3111.11944,0.033333333,Coral City
2018,NA,NA,Coral City,Outside,NA,7,Queen triggerfish,40,1,Balistes vetula,Triggerfish,Carnivore,0.0398,2.88,1636.12261,0.033333333,Coral City
2018,NA,NA,West Point,Outside,NA,3,Queen triggerfish,40,2,Balistes vetula,Triggerfish,Carnivore,0.0398,2.88,3272.24523,0.066666667,West Point
2018,NA,NA,West Point,Outside,NA,4,Queen triggerfish,40,1,Balistes vetula,Triggerfish,Carnivore,0.0398,2.88,1636.12261,0.033333333,West Point
2018,NA,NA,Jigsaw,Outside,NA,9,Queen triggerfish,50,1,Balistes vetula,Triggerfish,Carnivore,0.0398,2.88,3111.11944,0.033333333,Jigsaw Puzzle
2015,NA,NA,Meadows,Inside ,NA,8,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,The Meadows
2015,NA,NA,Snapshot,Outside,NA,9,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,Snap Shot
2015,NA,NA,West Point,Outside,NA,1,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,West Point
2015,NA,NA,West Point,Outside,NA,4,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,West Point
2017,NA,NA,Coral City,Outside,NA,5,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,Coral City
2017,NA,NA,Grundy's Gardens,Inside ,NA,2,Rock beauty Angelfish,10,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,29.50041,0.033333333,Grundy's Gardens
2017,NA,NA,ICON,Inside ,NA,7,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,Icon
2017,NA,NA,ICON,Inside ,NA,8,Rock beauty Angelfish,30,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,753.93811,0.033333333,Icon
2017,NA,NA,Jigsaw,Outside,NA,2,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,Jigsaw Puzzle
2017,NA,NA,Martha's Finyard,Outside,NA,8,Rock beauty Angelfish,20,2,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,455.92822,0.066666667,Martha's Finyard
2017,NA,NA,Mixing Bowl,Inside ,NA,4,Rock beauty Angelfish,30,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,753.93811,0.033333333,Sailfin Miniwall
2017,NA,NA,Pauls Anchors,Inside ,NA,1,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,Paul's Anchor
2017,NA,NA,Snapshot,Outside,NA,6,Rock beauty Angelfish,10,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,29.50041,0.033333333,Snap Shot
2017,NA,NA,West Point,Outside,NA,10,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,West Point
2017,NA,NA,West Point,Outside,NA,6,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,West Point
2018,NA,NA,Lucas Ledge,Outside,NA,6,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,Luca's Ledges
2018,NA,NA,Coral City,Outside,NA,8,Rock beauty Angelfish,30,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,753.93811,0.033333333,Coral City
2018,NA,NA,West Point,Outside,NA,2,Rock beauty Angelfish,40,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,1761.59054,0.033333333,West Point
2018,NA,NA,West Point,Outside,NA,3,Rock beauty Angelfish,30,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,753.93811,0.033333333,West Point
2018,NA,NA,West Point,Outside,NA,4,Rock beauty Angelfish,40,2,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,3523.18107,0.066666667,West Point
2018,NA,NA,Jigsaw,Outside,NA,1,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,Jigsaw Puzzle
2018,NA,NA,Jigsaw,Outside,NA,3,Rock beauty Angelfish,20,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,227.96411,0.033333333,Jigsaw Puzzle
2018,NA,NA,Jigsaw,Outside,NA,4,Rock beauty Angelfish,10,1,Holacanthus tricolor,Angelfish,Omnivore,0.0331,2.95,29.50041,0.033333333,Jigsaw Puzzle
2015,NA,NA,Mixing Bowl,Inside ,NA,7,Saucereye Porgy,30,1,Calamus calamus,Porgy,Carnivore,0.0288,2.89,534.90039,0.033333333,Sailfin Miniwall
2017,NA,NA,Jigsaw,Outside,NA,8,Saucereye Porgy,30,1,Calamus calamus,Porgy,Carnivore,0.0288,2.89,534.90039,0.033333333,Jigsaw Puzzle
2017,NA,NA,Pauls Anchors,Inside ,NA,7,Saucereye porgy,40,1,Calamus calamus,Porgy,Carnivore,0.0288,2.89,1228.41713,0.033333333,Paul's Anchor
2018,NA,NA,Joy's Joy,Outside,NA,4,Saucereye Porgy,50,1,Calamus calamus,Porgy,Carnivore,0.0288,2.89,2341.07755,0.033333333,Joy's Joy
2014,NA,NA,Grundy's Gardens,Inside ,NA,8,French angelfish,20,2,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,695.46433,0.066666667,Grundy's Gardens
1999,NA,NA,Blacktip Tunnels,Outside,NA,1,French Angelfish,10,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,44.68853,0.033333333,Blacktip Blvd.
1999,NA,NA,Coral City,Outside,NA,2,French Angelfish,5,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,5.74311,0.033333333,Coral City
1999,NA,NA,Coral City,Outside,NA,6,French Angelfish,20,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,347.73217,0.033333333,Coral City
1999,NA,NA,Coral City,Outside,NA,9,French Angelfish,5,2,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,11.48622,0.066666667,Coral City
1999,NA,NA,Coral City,Outside,NA,9,French Angelfish,10,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,44.68853,0.033333333,Coral City
1999,NA,NA,Coral City,Outside,NA,9,French Angelfish,20,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,347.73217,0.033333333,Coral City
1999,NA,NA,Coral City,Outside,NA,10,French Angelfish,10,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,44.68853,0.033333333,Coral City
1999,NA,NA,Coral City,Outside,NA,10,French Angelfish,20,3,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,1043.1965,0.1,Coral City
1999,NA,NA,Coral City,Outside,NA,11,French Angelfish,10,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,44.68853,0.033333333,Coral City
1999,NA,NA,Grundy's Gardens,Inside ,NA,7,French Angelfish,5,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,5.74311,0.033333333,Grundy's Gardens
1999,NA,NA,Grundy's Gardens,Inside ,NA,8,French Angelfish,5,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,5.74311,0.033333333,Grundy's Gardens
1999,NA,NA,Grundy's Gardens,Inside ,NA,10,French Angelfish,5,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,5.74311,0.033333333,Grundy's Gardens
1999,NA,NA,Jigsaw,Outside,NA,1,French Angelfish,20,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,347.73217,0.033333333,Jigsaw Puzzle
1999,NA,NA,Jigsaw,Outside,NA,1,French Angelfish,20,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,347.73217,0.033333333,Jigsaw Puzzle
1999,NA,NA,Jigsaw,Outside,NA,1,French Angelfish,30,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,1154.7155,0.033333333,Jigsaw Puzzle
1999,NA,NA,Jigsaw,Outside,NA,2,French Angelfish,5,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,5.74311,0.033333333,Jigsaw Puzzle
1999,NA,NA,Jigsaw,Outside,NA,2,French Angelfish,10,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,44.68853,0.033333333,Jigsaw Puzzle
1999,NA,NA,Jigsaw,Outside,NA,2,French Angelfish,20,2,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,695.46433,0.066666667,Jigsaw Puzzle
1999,NA,NA,Joy's Joy,Outside,NA,10,French Angelfish,20,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,347.73217,0.033333333,Joy's Joy
1999,NA,NA,Meadows,Inside ,NA,8,French Angelfish,5,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,5.74311,0.033333333,The Meadows
1999,NA,NA,Mixing Bowl,Inside ,NA,6,French Angelfish,5,2,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,11.48622,0.066666667,Sailfin Miniwall
1999,NA,NA,Mixing Bowl,Inside ,NA,8,French Angelfish,10,1,Pomacanthus paru,Angelfish,Omnivore,0.049,2.96,44.68853,0.033333333,Sailfin Miniwall
