Year,Site,trasnect,quadrat,Cructose,Macro Total,Macro Fleshy,Macro Calc,Turf,Number of juvenile corals
1999,Coral City,15,4,50,30,NA,NA,50,NA
1999,Coral City,15,5,30,10,NA,NA,90,NA
1999,Mixing Bowl,1,1,15,20,NA,NA,10,NA
1999,Mixing Bowl,1,2,100,2,NA,NA,10,NA
1999,Mixing Bowl,1,3,80,30,NA,NA,20,NA
1999,Mixing Bowl,1,4,75,30,NA,NA,10,NA
1999,Mixing Bowl,1,5,60,25,NA,NA,10,NA
1999,Mixing Bowl,2,1,50,30,NA,NA,10,NA
1999,Mixing Bowl,2,2,100,10,NA,NA,40,NA
1999,Mixing Bowl,2,3,20,75,NA,NA,10,NA
1999,Mixing Bowl,2,4,60,10,NA,NA,40,NA
1999,Mixing Bowl,2,5,70,20,NA,NA,90,NA
1999,Mixing Bowl,3,1,100,70,NA,NA,90,NA
1999,Mixing Bowl,3,2,60,10,NA,NA,30,NA
1999,Mixing Bowl,3,3,100,80,NA,NA,80,NA
1999,Mixing Bowl,3,4,60,20,NA,NA,70,NA
1999,Mixing Bowl,3,5,60,70,NA,NA,60,NA
1999,Mixing Bowl,4,1,90,30,NA,NA,40,NA
1999,Mixing Bowl,4,2,90,55,NA,NA,30,NA
1999,Mixing Bowl,4,3,60,70,NA,NA,50,NA
1999,Mixing Bowl,4,4,50,25,NA,NA,10,NA
1999,Mixing Bowl,4,5,30,60,NA,NA,60,NA
1999,Mixing Bowl,5,1,30,45,NA,NA,100,NA
1999,Mixing Bowl,5,2,30,40,NA,NA,40,NA
1999,Mixing Bowl,5,3,60,0,NA,NA,0,NA
1999,Mixing Bowl,5,4,70,30,NA,NA,0,NA
1999,Mixing Bowl,5,5,0,0,NA,NA,25,NA
1999,Mixing Bowl,6,1,25,25,NA,NA,0,NA
1999,Mixing Bowl,6,2,30,50,NA,NA,0,NA
1999,Mixing Bowl,6,3,100,60,NA,NA,0,NA
1999,Mixing Bowl,6,4,15,50,NA,NA,0,NA
1999,Mixing Bowl,6,5,50,25,NA,NA,0,NA
1999,Mixing Bowl,7,1,50,40,NA,NA,0,NA
1999,Mixing Bowl,7,2,50,50,NA,NA,0,NA
1999,Mixing Bowl,7,3,100,50,NA,NA,0,NA
1999,Mixing Bowl,7,4,50,80,NA,NA,0,NA
1999,Mixing Bowl,7,5,70,75,NA,NA,0,NA
1999,Mixing Bowl,8,1,25,50,NA,NA,0,NA
1999,Mixing Bowl,8,2,50,75,NA,NA,0,NA
1999,Mixing Bowl,8,3,50,50,NA,NA,0,NA
1999,Mixing Bowl,8,4,50,50,NA,NA,0,NA
1999,Mixing Bowl,8,5,50,75,NA,NA,0,NA
1999,Mixing Bowl,9,1,100,10,NA,NA,0,NA
1999,Mixing Bowl,9,2,50,90,NA,NA,0,NA
1999,Mixing Bowl,9,3,50,50,NA,NA,0,NA
1999,Mixing Bowl,9,4,100,10,NA,NA,0,NA
1999,Mixing Bowl,9,5,70,80,NA,NA,0,NA
1999,Mixing Bowl,10,1,100,70,NA,NA,0,NA
1999,Mixing Bowl,10,2,70,80,NA,NA,0,NA
1999,Mixing Bowl,10,3,100,80,NA,NA,0,NA
1999,Mixing Bowl,10,4,75,25,NA,NA,30,NA
1999,Mixing Bowl,10,5,75,50,NA,NA,80,NA
1999,Mixing Bowl,11,1,80,75,NA,NA,10,NA
1999,Mixing Bowl,11,2,25,80,NA,NA,70,NA
1999,Mixing Bowl,11,3,90,80,NA,NA,50,NA
1999,Mixing Bowl,11,4,10,50,NA,NA,40,NA
1999,Mixing Bowl,11,5,30,50,NA,NA,60,NA
1999,Mixing Bowl,12,1,80,80,NA,NA,20,NA
1999,Mixing Bowl,12,2,90,90,NA,NA,60,NA
1999,Mixing Bowl,12,3,25,80,NA,NA,20,NA
1999,Mixing Bowl,12,4,40,20,NA,NA,50,NA
1999,Mixing Bowl,12,5,80,40,NA,NA,80,NA
1999,Mixing Bowl,13,1,0,80,NA,NA,20,NA
1999,Mixing Bowl,13,2,0,10,NA,NA,90,NA
1999,Mixing Bowl,13,3,0,25,NA,NA,75,NA
1999,Mixing Bowl,13,4,0,20,NA,NA,80,NA
1999,Mixing Bowl,13,5,0,10,NA,NA,90,NA
1999,Mixing Bowl,14,1,20,50,NA,NA,50,NA
1999,Mixing Bowl,14,2,25,10,NA,NA,75,NA
1999,Mixing Bowl,14,3,10,40,NA,NA,60,NA
1999,Mixing Bowl,14,4,15,30,NA,NA,0,NA
1999,Mixing Bowl,14,5,30,25,NA,NA,0,NA
1999,Mixing Bowl,15,1,70,20,NA,NA,0,NA
1999,Mixing Bowl,15,2,40,30,NA,NA,0,NA
1999,Mixing Bowl,15,3,25,60,NA,NA,0,NA
1999,Mixing Bowl,15,4,40,75,NA,NA,0,NA
1999,Mixing Bowl,15,5,25,20,NA,NA,0,NA
1999,Pauls Anchor,1,1,30,60,NA,NA,2,NA
1999,Pauls Anchor,1,2,50,30,NA,NA,5,NA
1999,Pauls Anchor,1,3,25,20,NA,NA,0,NA
1999,Pauls Anchor,1,4,70,20,NA,NA,5,NA
1999,Pauls Anchor,1,5,15,75,NA,NA,5,NA
1999,Pauls Anchor,2,1,25,25,NA,NA,5,NA
1999,Pauls Anchor,2,2,50,90,NA,NA,0,NA
1999,Pauls Anchor,2,3,40,50,NA,NA,0,NA
1999,Pauls Anchor,2,4,40,60,NA,NA,0,NA
1999,Pauls Anchor,2,5,100,15,NA,NA,0,NA
1999,Pauls Anchor,3,1,100,60,NA,NA,0,NA
1999,Pauls Anchor,3,2,100,60,NA,NA,0,NA
1999,Pauls Anchor,3,3,100,50,NA,NA,0,NA
1999,Pauls Anchor,3,4,25,75,NA,NA,0,NA
1999,Pauls Anchor,3,5,100,70,NA,NA,0,NA
1999,Pauls Anchor,4,1,25,65,NA,NA,25,NA
1999,Pauls Anchor,4,2,10,30,NA,NA,20,NA
1999,Pauls Anchor,4,3,25,25,NA,NA,25,NA
1999,Pauls Anchor,4,4,10,15,NA,NA,10,NA
1999,Pauls Anchor,4,5,10,30,NA,NA,20,NA
1999,Pauls Anchor,5,1,20,75,NA,NA,10,NA
1999,Pauls Anchor,5,2,10,20,NA,NA,80,NA
1999,Pauls Anchor,5,3,50,60,NA,NA,25,NA
1999,Pauls Anchor,5,4,25,75,NA,NA,10,NA
1999,Pauls Anchor,5,5,25,40,NA,NA,25,NA
1999,Pauls Anchor,6,1,10,10,NA,NA,70,NA
1999,Pauls Anchor,6,2,30,40,NA,NA,25,NA
1999,Pauls Anchor,6,3,15,30,NA,NA,15,NA
1999,Pauls Anchor,6,4,10,70,NA,NA,10,NA
1999,Pauls Anchor,6,5,0,35,NA,NA,10,NA
1999,Pauls Anchor,7,1,50,10,NA,NA,5,NA
1999,Pauls Anchor,7,2,90,30,NA,NA,30,NA
1999,Pauls Anchor,7,3,95,80,NA,NA,0,NA
1999,Pauls Anchor,7,4,90,60,NA,NA,0,NA
1999,Pauls Anchor,7,5,95,0,NA,NA,90,NA
1999,Pauls Anchor,8,1,100,20,NA,NA,5,NA
1999,Pauls Anchor,8,2,90,40,NA,NA,10,NA
1999,Pauls Anchor,8,3,80,90,NA,NA,25,NA
1999,Pauls Anchor,8,4,85,90,NA,NA,10,NA
1999,Pauls Anchor,8,5,90,90,NA,NA,30,NA
1999,Pauls Anchor,9,1,5,25,NA,NA,30,NA
1999,Pauls Anchor,9,2,70,25,NA,NA,40,NA
1999,Pauls Anchor,9,3,95,80,NA,NA,30,NA
1999,Pauls Anchor,9,4,100,80,NA,NA,30,NA
1999,Pauls Anchor,9,5,95,40,NA,NA,60,NA
1999,Pauls Anchor,10,1,50,80,NA,NA,0,NA
1999,Pauls Anchor,10,2,90,3,NA,NA,20,NA
1999,Pauls Anchor,10,3,60,60,NA,NA,30,NA
1999,Pauls Anchor,10,4,95,70,NA,NA,0,NA
1999,Pauls Anchor,10,5,90,90,NA,NA,5,NA
1999,Pauls Anchor,11,1,20,40,NA,NA,80,NA
1999,Pauls Anchor,11,2,90,95,NA,NA,0,NA
1999,Pauls Anchor,11,3,60,45,NA,NA,40,NA
1999,Pauls Anchor,11,4,25,5,NA,NA,80,NA
1999,Pauls Anchor,11,5,60,85,NA,NA,0,NA
1999,Pauls Anchor,12,1,50,50,NA,NA,50,NA
1999,Pauls Anchor,12,2,75,55,NA,NA,0,NA
1999,Pauls Anchor,12,3,80,30,NA,NA,0,NA
1999,Pauls Anchor,12,4,65,80,NA,NA,30,NA
1999,Pauls Anchor,12,5,70,90,NA,NA,10,NA
1999,Snapshot,1,1,50,25,NA,NA,0,NA
1999,Snapshot,1,2,80,25,NA,NA,0,NA
1999,Snapshot,1,3,0,50,NA,NA,0,NA
1999,Snapshot,1,4,100,30,NA,NA,0,NA
1999,Snapshot,1,5,50,100,NA,NA,0,NA
1999,Snapshot,2,1,80,10,NA,NA,0,NA
1999,Snapshot,2,2,50,20,NA,NA,0,NA
1999,Snapshot,2,3,25,50,NA,NA,0,NA
1999,Snapshot,2,4,15,80,NA,NA,0,NA
1999,Snapshot,2,5,60,25,NA,NA,0,NA
1999,Snapshot,3,1,50,90,NA,NA,0,NA
1999,Snapshot,3,2,50,25,NA,NA,0,NA
1999,Snapshot,3,3,60,40,NA,NA,0,NA
1999,Snapshot,3,4,0,30,NA,NA,0,NA
1999,Snapshot,3,5,0,90,NA,NA,0,NA
1999,Snapshot,4,1,4,20,NA,NA,0,NA
1999,Snapshot,4,2,60,50,NA,NA,0,NA
1999,Snapshot,4,3,70,60,NA,NA,0,NA
1999,Snapshot,4,4,70,80,NA,NA,0,NA
1999,Snapshot,4,5,80,60,NA,NA,0,NA
1999,Snapshot,5,1,80,60,NA,NA,0,NA
1999,Snapshot,5,2,80,85,NA,NA,0,NA
1999,Snapshot,5,3,95,20,NA,NA,0,NA
1999,Snapshot,5,4,90,40,NA,NA,0,NA
1999,Snapshot,5,5,40,80,NA,NA,0,NA
1999,Snapshot,6,1,90,100,NA,NA,0,NA
1999,Snapshot,6,2,90,50,NA,NA,0,NA
1999,Snapshot,6,3,80,15,NA,NA,0,NA
1999,Snapshot,6,4,70,20,NA,NA,0,NA
1999,Snapshot,6,5,50,50,NA,NA,0,NA
1999,Snapshot,7,1,25,60,NA,NA,0,NA
1999,Snapshot,7,2,30,30,NA,NA,0,NA
1999,Snapshot,7,3,50,60,NA,NA,0,NA
1999,Snapshot,7,4,80,0,NA,NA,0,NA
1999,Snapshot,7,5,35,60,NA,NA,0,NA
1999,Snapshot,8,1,50,75,NA,NA,0,NA
1999,Snapshot,8,2,25,50,NA,NA,0,NA
1999,Snapshot,8,3,25,35,NA,NA,0,NA
1999,Snapshot,8,4,30,60,NA,NA,0,NA
1999,Snapshot,8,5,55,10,NA,NA,0,NA
1999,Snapshot,9,1,25,50,NA,NA,0,NA
1999,Snapshot,9,2,30,60,NA,NA,0,NA
1999,Snapshot,9,3,20,30,NA,NA,0,NA
1999,Snapshot,9,4,35,50,NA,NA,0,NA
1999,Snapshot,9,5,10,50,NA,NA,0,NA
1999,Snapshot,10,1,40,60,NA,NA,0,NA
1999,Snapshot,10,2,20,95,NA,NA,0,NA
1999,Snapshot,10,3,60,95,NA,NA,0,NA
1999,Snapshot,10,4,20,30,NA,NA,0,NA
1999,Snapshot,10,5,0,40,NA,NA,0,NA
1999,Snapshot,11,1,90,70,NA,NA,0,NA
1999,Snapshot,11,2,70,60,NA,NA,0,NA
1999,Snapshot,11,3,80,55,NA,NA,0,NA
1999,Snapshot,11,4,75,90,NA,NA,0,NA
1999,Snapshot,11,5,95,15,NA,NA,0,NA
1999,Snapshot,12,1,30,60,NA,NA,0,NA
1999,Snapshot,12,2,50,90,NA,NA,0,NA
1999,Snapshot,12,3,45,75,NA,NA,0,NA
1999,Snapshot,12,4,60,60,NA,NA,0,NA
1999,Snapshot,12,5,30,85,NA,NA,0,NA
1999,Jigsaw,1,1,100,30,NA,NA,20,NA
1999,Jigsaw,1,2,100,10,NA,NA,70,NA
1999,Jigsaw,1,3,0,50,NA,NA,20,NA
1999,Jigsaw,1,4,40,25,NA,NA,80,NA
1999,Jigsaw,1,5,20,90,NA,NA,10,NA
1999,Jigsaw,2,1,25,60,NA,NA,90,NA
1999,Jigsaw,2,2,10,40,NA,NA,30,NA
1999,Jigsaw,2,3,20,10,NA,NA,100,NA
1999,Jigsaw,2,4,10,70,NA,NA,20,NA
1999,Jigsaw,2,5,10,60,NA,NA,10,NA
1999,Jigsaw,3,1,25,60,NA,NA,30,NA
1999,Jigsaw,3,2,30,20,NA,NA,100,NA
1999,Jigsaw,3,3,40,30,NA,NA,70,NA
1999,Jigsaw,3,4,20,40,NA,NA,30,NA
1999,Jigsaw,3,5,30,25,NA,NA,80,NA
1999,Jigsaw,4,1,90,60,NA,NA,10,NA
1999,Jigsaw,4,2,80,30,NA,NA,40,NA
1999,Jigsaw,4,3,80,50,NA,NA,10,NA
1999,Jigsaw,4,4,80,10,NA,NA,0,NA
1999,Jigsaw,4,5,40,75,NA,NA,10,NA
1999,Jigsaw,5,1,80,20,NA,NA,20,NA
1999,Jigsaw,5,2,100,50,NA,NA,10,NA
1999,Jigsaw,5,3,100,25,NA,NA,10,NA
1999,Jigsaw,5,4,100,80,NA,NA,0,NA
1999,Jigsaw,5,5,80,60,NA,NA,20,NA
1999,Jigsaw,6,1,60,50,NA,NA,10,NA
1999,Jigsaw,6,2,50,60,NA,NA,10,NA
1999,Jigsaw,6,3,100,20,NA,NA,90,NA
1999,Jigsaw,6,4,100,25,NA,NA,25,NA
1999,Jigsaw,6,5,10,25,NA,NA,100,NA
1999,Jigsaw,7,1,10,25,NA,NA,90,NA
1999,Jigsaw,7,2,100,25,NA,NA,0,NA
1999,Jigsaw,7,3,50,30,NA,NA,25,NA
1999,Jigsaw,7,4,75,80,NA,NA,10,NA
1999,Jigsaw,7,5,75,50,NA,NA,10,NA
1999,Jigsaw,8,1,80,60,NA,NA,20,NA
1999,Jigsaw,8,2,80,30,NA,NA,10,NA
1999,Jigsaw,8,3,0,60,NA,NA,50,NA
1999,Jigsaw,8,4,100,10,NA,NA,80,NA
1999,Jigsaw,8,5,100,20,NA,NA,10,NA
1999,Jigsaw,9,1,30,50,NA,NA,0,NA
1999,Jigsaw,9,2,60,50,NA,NA,50,NA
1999,Jigsaw,9,3,80,10,NA,NA,50,NA
1999,Jigsaw,9,4,80,20,NA,NA,0,NA
1999,Jigsaw,9,5,90,20,NA,NA,0,NA
1999,Jigsaw,10,1,30,20,NA,NA,60,NA
1999,Jigsaw,10,2,60,40,NA,NA,20,NA
1999,Jigsaw,10,3,20,40,NA,NA,30,NA
1999,Jigsaw,10,4,90,80,NA,NA,10,NA
1999,Jigsaw,10,5,90,10,NA,NA,20,NA
1999,Jigsaw,11,1,30,5,NA,NA,30,NA
1999,Jigsaw,11,2,80,5,NA,NA,50,NA
1999,Jigsaw,11,3,90,3,NA,NA,80,NA
1999,Jigsaw,11,4,90,15,NA,NA,75,NA
1999,Jigsaw,11,5,80,2,NA,NA,80,NA
1999,Jigsaw,12,1,80,10,NA,NA,60,NA
1999,Jigsaw,12,2,90,5,NA,NA,90,NA
1999,Jigsaw,12,3,40,2,NA,NA,20,NA
1999,Jigsaw,12,4,80,20,NA,NA,30,NA
1999,Jigsaw,12,5,50,10,NA,NA,40,NA
1999,Jigsaw,13,1,80,65,NA,NA,80,NA
1999,Jigsaw,13,2,95,20,NA,NA,80,NA
1999,Jigsaw,13,3,80,90,NA,NA,30,NA
1999,Jigsaw,13,4,80,35,NA,NA,100,NA
1999,Jigsaw,13,5,30,20,NA,NA,100,NA
1999,Sailfin,1,1,0,50,NA,NA,15,NA
1999,Sailfin,1,2,0,100,NA,NA,20,NA
1999,Sailfin,1,3,70,50,NA,NA,0,NA
1999,Sailfin,1,4,100,15,NA,NA,0,NA
1999,Sailfin,1,5,100,25,NA,NA,0,NA
1999,Sailfin,2,1,40,60,NA,NA,0,NA
1999,Sailfin,2,2,50,25,NA,NA,0,NA
1999,Sailfin,2,3,75,25,NA,NA,0,NA
1999,Sailfin,2,4,30,70,NA,NA,0,NA
1999,Sailfin,2,5,25,70,NA,NA,0,NA
1999,Sailfin,3,1,0,100,NA,NA,0,NA
1999,Sailfin,3,2,60,25,NA,NA,0,NA
1999,Sailfin,3,3,25,50,NA,NA,0,NA
1999,Sailfin,3,4,40,30,NA,NA,10,NA
1999,Sailfin,3,5,50,60,NA,NA,5,NA
1999,Sailfin,4,1,70,10,NA,NA,0,NA
1999,Sailfin,4,2,50,50,NA,NA,0,NA
1999,Sailfin,4,3,60,90,NA,NA,0,NA
1999,Sailfin,4,4,25,50,NA,NA,0,NA
1999,Sailfin,4,5,30,75,NA,NA,0,NA
1999,Sailfin,5,1,0,25,NA,NA,50,NA
1999,Sailfin,5,2,100,70,NA,NA,0,NA
1999,Sailfin,5,3,80,20,NA,NA,5,NA
1999,Sailfin,5,4,40,60,NA,NA,5,NA
1999,Sailfin,5,5,40,60,NA,NA,0,NA
1999,Sailfin,6,1,10,25,NA,NA,50,NA
1999,Sailfin,6,2,10,95,NA,NA,10,NA
1999,Sailfin,6,3,10,50,NA,NA,25,NA
1999,Sailfin,6,4,75,10,NA,NA,50,NA
1999,Sailfin,6,5,10,40,NA,NA,10,NA
1999,Sailfin,7,1,20,0,NA,NA,30,NA
1999,Sailfin,7,2,20,30,NA,NA,10,NA
1999,Sailfin,7,3,25,75,NA,NA,10,NA
1999,Sailfin,7,4,10,10,NA,NA,35,NA
1999,Sailfin,7,5,25,10,NA,NA,50,NA
