"","X","Year","Month","Day","Site","Depth","Transect","Observer","Species_Code","Coral_genus","Coral_spp","length","width","height","coral_SA","Site_Name"
"33",33,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","PSTR","Pseudodiploria","strigosa",10,NA,5,157.07963267949,"Grundy's Gardens"
"34",34,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","PSTR","Pseudodiploria","strigosa",10,NA,5,157.07963267949,"Grundy's Gardens"
"35",35,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","OFAV","Orbicella","faveolata",90,NA,60,16964.6003293849,"Grundy's Gardens"
"36",36,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","AAGA","Agaricia","agaricites",80,NA,20,5026.54824574367,"Grundy's Gardens"
"37",37,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","OANN","Orbicella","annularis",35,NA,60,6597.34457253857,"Grundy's Gardens"
"38",38,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","MILL","Millepora",NA,30,NA,35,3298.67228626928,"Grundy's Gardens"
"39",39,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","AAGA","Agaricia","agaricites",25,NA,10,785.398163397448,"Grundy's Gardens"
"40",40,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","AAGA","Agaricia","agaricites",15,NA,15,706.858347057703,"Grundy's Gardens"
"41",41,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","AAGA","Agaricia","agaricites",40,NA,20,2513.27412287183,"Grundy's Gardens"
"42",42,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","AAGA","Agaricia","agaricites",20,NA,20,1256.63706143592,"Grundy's Gardens"
"43",43,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","PPOR","Porites","porites",30,NA,10,942.477796076938,"Grundy's Gardens"
"44",44,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","OANN","Orbicella","annularis",50,NA,30,4712.38898038469,"Grundy's Gardens"
"45",45,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","AAGA","Agaricia","agaricites",30,NA,5,471.238898038469,"Grundy's Gardens"
"46",46,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","AAGA","Agaricia","agaricites",25,NA,10,785.398163397448,"Grundy's Gardens"
"47",47,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","MILL","Millepora",NA,30,NA,20,1884.95559215388,"Grundy's Gardens"
"48",48,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","AAGA","Agaricia","agaricites",35,NA,25,2748.89357189107,"Grundy's Gardens"
"49",49,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","MILL","Millepora",NA,30,NA,20,1884.95559215388,"Grundy's Gardens"
"50",50,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","AAGA","Agaricia","agaricites",30,NA,20,1884.95559215388,"Grundy's Gardens"
"51",51,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","PPOR","Porites","porites",25,NA,10,785.398163397448,"Grundy's Gardens"
"52",52,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","MILL","Millepora",NA,20,NA,15,942.477796076938,"Grundy's Gardens"
"53",53,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","AAGA","Agaricia","agaricites",20,NA,10,628.318530717959,"Grundy's Gardens"
"54",54,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","OANN","Orbicella","annularis",40,NA,20,2513.27412287183,"Grundy's Gardens"
"55",55,"1999",NA,NA,"Grundy's  Gardens",9,6,"CK","OFAV","Orbicella","faveolata",210,NA,170,112154.857733156,"Grundy's Gardens"
"56",56,"1999",NA,NA,"Grundy's  Gardens",9.5,7,"CK","OFAV","Orbicella","faveolata",110,NA,90,31101.767270539,"Grundy's Gardens"
"57",57,"1999",NA,NA,"Grundy's  Gardens",9.5,7,"CK","OFAV","Orbicella","faveolata",220,NA,180,124407.069082156,"Grundy's Gardens"
"58",58,"1999",NA,NA,"Grundy's  Gardens",9.5,7,"CK","AAGA","Agaricia","agaricites",30,NA,10,942.477796076938,"Grundy's Gardens"
"59",59,"1999",NA,NA,"Grundy's  Gardens",9.5,7,"CK","OANN","Orbicella","annularis",15,NA,10,471.238898038469,"Grundy's Gardens"
"60",60,"1999",NA,NA,"Grundy's  Gardens",9.5,7,"CK","OANN","Orbicella","annularis",50,NA,60,9424.77796076938,"Grundy's Gardens"
"61",61,"1999",NA,NA,"Grundy's  Gardens",9.5,7,"CK","AAGA","Agaricia","agaricites",15,NA,10,471.238898038469,"Grundy's Gardens"
"62",62,"1999",NA,NA,"Grundy's  Gardens",9.5,7,"CK","OANN","Orbicella","annularis",10,NA,5,157.07963267949,"Grundy's Gardens"
"63",63,"1999",NA,NA,"Grundy's  Gardens",9.5,7,"CK","AAGA","Agaricia","agaricites",25,NA,10,785.398163397448,"Grundy's Gardens"
"64",64,"1999",NA,NA,"Grundy's  Gardens",8,8,"BR","OFAV","Orbicella","faveolata",60,NA,70,13194.6891450771,"Grundy's Gardens"
"65",65,"1999",NA,NA,"Grundy's  Gardens",8,8,"BR","OFAV","Orbicella","faveolata",200,NA,250,157079.63267949,"Grundy's Gardens"
"66",66,"1999",NA,NA,"Grundy's  Gardens",8,8,"BR","OFAV","Orbicella","faveolata",400,NA,150,188495.559215388,"Grundy's Gardens"
"67",67,"1999",NA,NA,"Grundy's  Gardens",8,8,"BR","OANN","Orbicella","annularis",120,NA,70,26389.3782901543,"Grundy's Gardens"
"68",68,"1999",NA,NA,"Grundy's  Gardens",10,8,"BR","OANN","Orbicella","annularis",60,NA,40,7539.8223686155,"Grundy's Gardens"
"69",69,"1999",NA,NA,"Grundy's  Gardens",8,9,"BR","OFAV","Orbicella","faveolata",150,NA,100,47123.8898038469,"Grundy's Gardens"
"70",70,"1999",NA,NA,"Grundy's  Gardens",8,9,"BR","OFAV","Orbicella","faveolata",100,NA,70,21991.1485751286,"Grundy's Gardens"
"71",71,"1999",NA,NA,"Grundy's  Gardens",8,9,"BR","MARE","Manicina","areolata",20,NA,5,314.159265358979,"Grundy's Gardens"
"72",72,"1999",NA,NA,"Grundy's  Gardens",8,9,"BR","OFAV","Orbicella","faveolata",160,NA,140,70371.6754404114,"Grundy's Gardens"
"73",73,"1999",NA,NA,"Grundy's  Gardens",8,9,"BR","AAGA","Agaricia","agaricites",20,NA,10,628.318530717959,"Grundy's Gardens"
"74",74,"1999",NA,NA,"Grundy's  Gardens",10,9,"BR","OFAV","Orbicella","faveolata",90,NA,60,16964.6003293849,"Grundy's Gardens"
"75",75,"1999",NA,NA,"Grundy's  Gardens",7,10,"BR","OFAV","Orbicella","faveolata",100,NA,80,25132.7412287183,"Grundy's Gardens"
"76",76,"1999",NA,NA,"Grundy's  Gardens",7,10,"BR","OFAV","Orbicella","faveolata",140,NA,100,43982.2971502571,"Grundy's Gardens"
"77",77,"1999",NA,NA,"Grundy's  Gardens",7,10,"BR","OFAV","Orbicella","faveolata",170,NA,170,90792.027688745,"Grundy's Gardens"
"78",78,"1999",NA,NA,"Grundy's  Gardens",7,10,"BR","AAGA","Agaricia","agaricites",25,NA,25,1963.49540849362,"Grundy's Gardens"
"79",79,"1999",NA,NA,"Grundy's  Gardens",7,10,"BR","OANN","Orbicella","annularis",40,NA,20,2513.27412287183,"Grundy's Gardens"
"80",80,"1999",NA,NA,"Grundy's  Gardens",7,10,"BR","SSID","Siderastrea","siderea",60,NA,20,3769.91118430775,"Grundy's Gardens"
"81",81,"1999",NA,NA,"Grundy's  Gardens",7,10,"BR","AAGA","Agaricia","agaricites",20,NA,20,1256.63706143592,"Grundy's Gardens"
"82",82,"1999",NA,NA,"Grundy's  Gardens",7,10,"BR","AAGA","Agaricia","agaricites",30,NA,10,942.477796076938,"Grundy's Gardens"
"83",83,"1999",NA,NA,"Grundy's  Gardens",7,10,"BR","OANN","Orbicella","annularis",40,NA,30,3769.91118430775,"Grundy's Gardens"
"84",84,"1999",NA,NA,"Grundy's  Gardens",8,11,"BR","PSTR","Pseudodiploria","strigosa",330,NA,390,404322.974517006,"Grundy's Gardens"
"85",85,"1999",NA,NA,"Grundy's  Gardens",8,11,"BR","OANN","Orbicella","annularis",230,NA,100,72256.6310325652,"Grundy's Gardens"
"86",86,"1999",NA,NA,"Grundy's  Gardens",8,11,"BR","OANN","Orbicella","annularis",110,NA,30,10367.2557568463,"Grundy's Gardens"
"87",87,"1999",NA,NA,"Grundy's  Gardens",8,11,"BR","CNAT","Colpophyllia","natans",130,NA,30,12252.2113490002,"Grundy's Gardens"
"88",88,"1999",NA,NA,"Grundy's  Gardens",8,11,"BR","OFAV","Orbicella","faveolata",30,NA,10,942.477796076938,"Grundy's Gardens"
"89",89,"1999",NA,NA,"Grundy's  Gardens",8,11,"BR","AAGA","Agaricia","agaricites",40,NA,10,1256.63706143592,"Grundy's Gardens"
"90",90,"1999",NA,NA,"Grundy's  Gardens",8,11,"BR","OANN","Orbicella","annularis",170,NA,20,10681.4150222053,"Grundy's Gardens"
"91",91,"1999",NA,NA,"West Point",17,1,"BR","PAST","Porites","astreoides",35,NA,10,1099.55742875643,"West Point"
"92",92,"1999",NA,NA,"West Point",17,1,"BR","AAGA","Agaricia","agaricites",30,NA,15,1413.71669411541,"West Point"
"93",93,"1999",NA,NA,"West Point",17,1,"BR","MMEA","Meandrina","meandrites",60,NA,15,2827.43338823081,"West Point"
"94",94,"1999",NA,NA,"West Point",17,1,"BR","OFAV","Orbicella","faveolata",90,NA,15,4241.15008234622,"West Point"
"95",95,"1999",NA,NA,"West Point",17,1,"BR","PPOR","Porites","porites",70,NA,30,6597.34457253857,"West Point"
"96",96,"1999",NA,NA,"West Point",17,1,"BR","PSTR","Pseudodiploria","strigosa",50,NA,20,3141.59265358979,"West Point"
"97",97,"1999",NA,NA,"West Point",17,1,"BR","OFAV","Orbicella","faveolata",40,NA,20,2513.27412287183,"West Point"
"98",98,"1999",NA,NA,"West Point",17,1,"BR","DLAB","Diploria","labyrinthiformis",35,NA,15,1649.33614313464,"West Point"
"99",99,"1999",NA,NA,"West Point",17,1,"BR","AAGA","Agaricia","agaricites",40,NA,20,2513.27412287183,"West Point"
"100",100,"1999",NA,NA,"West Point",17,1,"BR","AAGA","Agaricia","agaricites",50,NA,20,3141.59265358979,"West Point"
"101",101,"1999",NA,NA,"West Point",17,1,"BR","MCAV","Montastraea","cavernosa",100,NA,140,43982.2971502571,"West Point"
"102",102,"1999",NA,NA,"West Point",17,1,"BR","PPOR","Porites","porites",100,NA,30,9424.77796076938,"West Point"
"103",103,"1999",NA,NA,"West Point",15,2,"BR","CNAT","Colpophyllia","natans",120,NA,150,56548.6677646163,"West Point"
"104",104,"1999",NA,NA,"West Point",15,2,"BR","OANN","Orbicella","annularis",100,NA,30,9424.77796076938,"West Point"
"105",105,"1999",NA,NA,"West Point",15,2,"BR","PSTR","Pseudodiploria","strigosa",60,NA,5,942.477796076938,"West Point"
"106",106,"1999",NA,NA,"West Point",15,2,"BR","OFAV","Orbicella","faveolata",30,NA,20,1884.95559215388,"West Point"
"107",107,"1999",NA,NA,"West Point",15,2,"BR","OANN","Orbicella","annularis",30,NA,20,1884.95559215388,"West Point"
"108",108,"1999",NA,NA,"West Point",15,2,"BR","OANN","Orbicella","annularis",40,NA,20,2513.27412287183,"West Point"
"109",109,"1999",NA,NA,"West Point",15,2,"BR","MCAV","Montastraea","cavernosa",40,NA,20,2513.27412287183,"West Point"
"110",110,"1999",NA,NA,"West Point",15,2,"BR","AAGA","Agaricia","agaricites",30,NA,20,1884.95559215388,"West Point"
"111",111,"1999",NA,NA,"West Point",15,2,"BR","MCAV","Montastraea","cavernosa",60,NA,20,3769.91118430775,"West Point"
"112",112,"1999",NA,NA,"West Point",15,2,"BR","OANN","Orbicella","annularis",35,NA,20,2199.11485751285,"West Point"
"113",113,"1999",NA,NA,"West Point",14,3,"BR","OANN","Orbicella","annularis",35,NA,20,2199.11485751285,"West Point"
"114",114,"1999",NA,NA,"West Point",14,3,"BR","AAGA","Agaricia","agaricites",30,NA,5,471.238898038469,"West Point"
"115",115,"1999",NA,NA,"West Point",14,3,"BR","CNAT","Colpophyllia","natans",50,NA,10,1570.7963267949,"West Point"
"116",116,"1999",NA,NA,"West Point",14,3,"BR","OANN","Orbicella","annularis",70,NA,40,8796.45943005142,"West Point"
"117",117,"1999",NA,NA,"West Point",14,3,"BR","PAST","Porites","astreoides",30,NA,10,942.477796076938,"West Point"
"118",118,"1999",NA,NA,"West Point",14,3,"BR","OANN","Orbicella","annularis",30,NA,20,1884.95559215388,"West Point"
"119",119,"1999",NA,NA,"West Point",14,3,"BR","AAGA","Agaricia","agaricites",40,NA,10,1256.63706143592,"West Point"
"120",120,"1999",NA,NA,"West Point",14,3,"BR","OANN","Orbicella","annularis",40,NA,30,3769.91118430775,"West Point"
"121",121,"1999",NA,NA,"West Point",14,3,"BR","SSID","Siderastrea","siderea",30,NA,10,942.477796076938,"West Point"
"122",122,"1999",NA,NA,"West Point",14,3,"BR","SSID","Siderastrea","siderea",40,NA,10,1256.63706143592,"West Point"
"123",123,"1999",NA,NA,"West Point",14,3,"BR","MCAV","Montastraea","cavernosa",50,NA,30,4712.38898038469,"West Point"
"124",124,"1999",NA,NA,"West Point",16,4,"BR","MCAV","Montastraea","cavernosa",40,NA,30,3769.91118430775,"West Point"
"125",125,"1999",NA,NA,"West Point",16,4,"BR","OFRA","Orbicella","franksi",50,NA,40,6283.18530717959,"West Point"
"126",126,"1999",NA,NA,"West Point",16,4,"BR","MCAV","Montastraea","cavernosa",30,NA,20,1884.95559215388,"West Point"
"127",127,"1999",NA,NA,"West Point",16,4,"BR","OANN","Orbicella","annularis",40,NA,20,2513.27412287183,"West Point"
"128",128,"1999",NA,NA,"West Point",16,4,"BR","PAST","Porites","astreoides",25,NA,10,785.398163397448,"West Point"
"129",129,"1999",NA,NA,"West Point",16,4,"BR","DLAB","Diploria","labyrinthiformis",50,NA,20,3141.59265358979,"West Point"
"130",130,"1999",NA,NA,"West Point",16,4,"BR","PAST","Porites","astreoides",30,NA,20,1884.95559215388,"West Point"
"131",131,"1999",NA,NA,"West Point",16,4,"BR","OFRA","Orbicella","franksi",50,NA,20,3141.59265358979,"West Point"
"132",132,"1999",NA,NA,"West Point",16,4,"BR","PPOR","Porites","porites",60,NA,30,5654.86677646163,"West Point"
"133",133,"1999",NA,NA,"West Point",16,4,"BR","MCAV","Montastraea","cavernosa",100,NA,20,6283.18530717959,"West Point"
"134",134,"1999",NA,NA,"West Point",14,5,"BR","MARE","Manicina","areolata",25,NA,5,392.699081698724,"West Point"
"135",135,"1999",NA,NA,"West Point",14,5,"BR","MCAV","Montastraea","cavernosa",30,NA,10,942.477796076938,"West Point"
"136",136,"1999",NA,NA,"West Point",14,5,"BR","OANN","Orbicella","annularis",25,NA,30,2356.19449019234,"West Point"
"137",137,"1999",NA,NA,"West Point",14,5,"BR","OANN","Orbicella","annularis",25,NA,20,1570.7963267949,"West Point"
"138",138,"1999",NA,NA,"West Point",14,5,"BR","AAGA","Agaricia","agaricites",30,NA,5,471.238898038469,"West Point"
"139",139,"1999",NA,NA,"West Point",14,5,"BR","PAST","Porites","astreoides",30,NA,5,471.238898038469,"West Point"
"140",140,"1999",NA,NA,"West Point",14,5,"BR","OANN","Orbicella","annularis",80,NA,40,10053.0964914873,"West Point"
"141",141,"1999",NA,NA,"West Point",14,5,"BR","CNAT","Colpophyllia","natans",100,NA,70,21991.1485751286,"West Point"
"142",142,"1999",NA,NA,"West Point",14,5,"BR","OANN","Orbicella","annularis",40,NA,20,2513.27412287183,"West Point"
"143",143,"1999",NA,NA,"West Point",14,5,"BR","MCAV","Montastraea","cavernosa",100,NA,60,18849.5559215388,"West Point"
"144",144,"1999",NA,NA,"West Point",12,6,"RG","CNAT","Colpophyllia","natans",140,NA,80,35185.8377202057,"West Point"
"145",145,"1999",NA,NA,"West Point",12,6,"RG","OANN","Orbicella","annularis",60,NA,25,4712.38898038469,"West Point"
"146",146,"1999",NA,NA,"West Point",12,6,"RG","DSTO","Dichocoenia","stokesii",25,NA,5,392.699081698724,"West Point"
"147",147,"1999",NA,NA,"West Point",12,6,"RG","OFAV","Orbicella","faveolata",30,NA,20,1884.95559215388,"West Point"
"148",148,"1999",NA,NA,"West Point",12,6,"RG","MCAV","Montastraea","cavernosa",40,NA,35,4398.22971502571,"West Point"
"149",149,"1999",NA,NA,"West Point",12,6,"RG","DLAB","Diploria","labyrinthiformis",35,NA,25,2748.89357189107,"West Point"
"150",150,"1999",NA,NA,"West Point",12,6,"RG","MCAV","Montastraea","cavernosa",3,NA,25,235.619449019234,"West Point"
"151",151,"1999",NA,NA,"West Point",12,6,"RG","MCAV","Montastraea","cavernosa",60,NA,45,8482.30016469244,"West Point"
"152",152,"1999",NA,NA,"West Point",12,6,"RG","SSID","Siderastrea","siderea",50,NA,25,3926.99081698724,"West Point"
"153",153,"1999",NA,NA,"West Point",13,6,"RG","PSTR","Pseudodiploria","strigosa",70,NA,50,10995.5742875643,"West Point"
"154",154,"1999",NA,NA,"West Point",13,7,"RG","AAGA","Agaricia","agaricites",30,NA,25,2356.19449019234,"West Point"
"155",155,"1999",NA,NA,"West Point",13,7,"RG","OFAV","Orbicella","faveolata",40,NA,20,2513.27412287183,"West Point"
"156",156,"1999",NA,NA,"West Point",13,7,"RG","MCAV","Montastraea","cavernosa",30,NA,25,2356.19449019234,"West Point"
"157",157,"1999",NA,NA,"West Point",13,7,"RG","PAST","Porites","astreoides",25,NA,5,392.699081698724,"West Point"
"158",158,"1999",NA,NA,"West Point",13,7,"RG","MCAV","Montastraea","cavernosa",45,NA,20,2827.43338823081,"West Point"
"159",159,"1999",NA,NA,"West Point",13,7,"RG","AAGA","Agaricia","agaricites",25,NA,10,785.398163397448,"West Point"
"160",160,"1999",NA,NA,"West Point",13,7,"RG","OFAV","Orbicella","faveolata",45,NA,25,3534.29173528852,"West Point"
"161",161,"1999",NA,NA,"West Point",13,7,"RG","OFAV","Orbicella","faveolata",25,NA,10,785.398163397448,"West Point"
"162",162,"1999",NA,NA,"West Point",13,7,"RG","DLAB","Diploria","labyrinthiformis",35,NA,30,3298.67228626928,"West Point"
"163",163,"1999",NA,NA,"West Point",13,7,"RG","DLAB","Diploria","labyrinthiformis",45,NA,40,5654.86677646163,"West Point"
"164",164,"1999",NA,NA,"West Point",13,8,"RG","MCAV","Montastraea","cavernosa",25,NA,5,392.699081698724,"West Point"
"165",165,"1999",NA,NA,"West Point",13,8,"RG","AAGA","Agaricia","agaricites",25,NA,30,2356.19449019234,"West Point"
"166",166,"1999",NA,NA,"West Point",13,8,"RG","MCAV","Montastraea","cavernosa",55,NA,25,4319.68989868597,"West Point"
"167",167,"1999",NA,NA,"West Point",13,8,"RG","CNAT","Colpophyllia","natans",130,NA,55,22462.387473167,"West Point"
"168",168,"1999",NA,NA,"West Point",13,8,"RG","OFAV","Orbicella","faveolata",30,NA,10,942.477796076938,"West Point"
"169",169,"1999",NA,NA,"West Point",13,8,"RG","MMEA","Meandrina","meandrites",30,NA,10,942.477796076938,"West Point"
"170",170,"1999",NA,NA,"West Point",13,8,"RG","OFAV","Orbicella","faveolata",25,NA,5,392.699081698724,"West Point"
"171",171,"1999",NA,NA,"West Point",13,8,"RG","AAGA","Agaricia","agaricites",30,NA,35,3298.67228626928,"West Point"
"172",172,"1999",NA,NA,"West Point",13,8,"RG","MCAV","Montastraea","cavernosa",30,NA,10,942.477796076938,"West Point"
"173",173,"1999",NA,NA,"West Point",14,8,"RG","MCAV","Montastraea","cavernosa",30,NA,30,2827.43338823081,"West Point"
"174",174,"1999",NA,NA,"West Point",13,9,"RG","MCAV","Montastraea","cavernosa",60,NA,65,12252.2113490002,"West Point"
"175",175,"1999",NA,NA,"West Point",13,9,"RG","MCAV","Montastraea","cavernosa",40,NA,45,5654.86677646163,"West Point"
"176",176,"1999",NA,NA,"West Point",13,9,"RG","AAGA","Agaricia","agaricites",25,NA,10,785.398163397448,"West Point"
"177",177,"1999",NA,NA,"West Point",13,9,"RG","AAGA","Agaricia","agaricites",25,NA,15,1178.09724509617,"West Point"
"178",178,"1999",NA,NA,"West Point",13,9,"RG","MCAV","Montastraea","cavernosa",30,NA,10,942.477796076938,"West Point"
"179",179,"1999",NA,NA,"West Point",13,9,"RG","SSID","Siderastrea","siderea",30,NA,15,1413.71669411541,"West Point"
"180",180,"1999",NA,NA,"West Point",13,9,"RG","MCAV","Montastraea","cavernosa",35,NA,40,4398.22971502571,"West Point"
"181",181,"1999",NA,NA,"West Point",13,9,"RG","DSTO","Dichocoenia","stokesii",30,NA,10,942.477796076938,"West Point"
"182",182,"1999",NA,NA,"West Point",13,9,"RG","OFAV","Orbicella","faveolata",80,NA,30,7539.8223686155,"West Point"
"183",183,"1999",NA,NA,"West Point",13,9,"RG","PPOR","Porites","porites",35,NA,10,1099.55742875643,"West Point"
"184",184,"1999",NA,NA,"West Point",13,9,"RG","OFAV","Orbicella","faveolata",40,NA,10,1256.63706143592,"West Point"
"185",185,"1999",NA,NA,"West Point",15,9,"RG","AAGA","Agaricia","agaricites",55,NA,30,5183.62787842316,"West Point"
"186",186,"1999",NA,NA,"West Point",14,10,"RG","SSID","Siderastrea","siderea",25,NA,10,785.398163397448,"West Point"
"187",187,"1999",NA,NA,"West Point",14,10,"RG","OFAV","Orbicella","faveolata",35,NA,10,1099.55742875643,"West Point"
"188",188,"1999",NA,NA,"West Point",14,10,"RG","MCAV","Montastraea","cavernosa",40,NA,15,1884.95559215388,"West Point"
"189",189,"1999",NA,NA,"West Point",14,10,"RG","SSID","Siderastrea","siderea",35,NA,20,2199.11485751285,"West Point"
"190",190,"1999",NA,NA,"West Point",14,10,"RG","CNAT","Colpophyllia","natans",125,NA,40,15707.963267949,"West Point"
"191",191,"1999",NA,NA,"West Point",14,10,"RG","PSTR","Pseudodiploria","strigosa",40,NA,50,6283.18530717959,"West Point"
"192",192,"1999",NA,NA,"West Point",14,10,"RG","OANN","Orbicella","annularis",40,NA,35,4398.22971502571,"West Point"
"193",193,"1999",NA,NA,"West Point",14,10,"RG","AAGA","Agaricia","agaricites",25,NA,20,1570.7963267949,"West Point"
"194",194,"1999",NA,NA,"West Point",14,10,"RG","PPOR","Porites","porites",40,NA,25,3141.59265358979,"West Point"
"195",195,"1999",NA,NA,"West Point",14,10,"RG","MCAV","Montastraea","cavernosa",35,NA,45,4948.00842940392,"West Point"
"196",196,"1999",NA,NA,"West Point",14,10,"RG","PPOR","Porites","porites",20,NA,10,628.318530717959,"West Point"
