date,year,month,day,site,mpa,observer,transect,common_name,sizeclass,count,fish_spp,common_family,foodweb,a,b,biomass,density
19626,2022,September,3,Coral City,Outside,ADC,3,,20,2,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,293.4001583,0.033333333
19627,2022,September,3,Coral City,Outside,ADC,3,,30,1,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,526.1599821,0.016666667
19628,2022,September,3,Coral City,Outside,ADC,3,,5,1,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,2.870220329,0.016666667
19629,2022,September,3,Coral City,Outside,ADC,3,,30,2,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,1093.776014,0.033333333
19630,2022,September,3,Coral City,Outside,ADC,3,,40,3,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,3811.449348,0.05
19631,2022,September,3,Coral City,Outside,ADC,3,,5,2,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,4.079214059,0.033333333
19632,2022,September,3,Coral City,Outside,ADC,3,,10,7,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,115.8124174,0.116666667
19633,2022,September,3,Coral City,Outside,ADC,3,,20,6,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,805.2281041,0.1
19636,2022,September,3,Coral City,Outside,ADC,3,,5,1,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,3.73685738,0.016666667
19637,2022,September,3,Coral City,Outside,ADC,3,,10,2,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,57.75306079,0.033333333
19638,2022,September,3,Coral City,Outside,ADC,3,,20,3,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,669.4293543,0.05
19639,2022,September,3,Coral City,Outside,ADC,3,,10,2,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,40.82847126,0.033333333
19640,2022,September,3,Coral City,Outside,ADC,3,,20,2,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,304.7544855,0.033333333
19641,2022,September,3,Coral City,Outside,ADC,3,,6,6,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,16.65505904,0.1
19642,2022,September,3,Coral City,Outside,ADC,3,,10,8,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,110.4307412,0.133333333
20259,2022,September,3,Coral City,Outside,JLR,1,,10,1,Chaetodon_striatus,Butterflyfish,Corallivore,0.0251,3.06,28.8186559,0.016666667
20278,2022,September,3,Coral City,Outside,JLR,1,,10,2,Microspathodon_chrysurus,Damselfish,Herbivore,0.02291,3.02,47.97943007,0.033333333
20265,2022,September,3,Coral City,Outside,JLR,1,,5,1,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,1.641305401,0.016666667
20280,2022,September,3,Coral City,Outside,JLR,1,,20,1,Epinephelus_guttatus,Grouper,Carnivore,0.0132,3.05,122.6635185,0.016666667
20260,2022,September,3,Coral City,Outside,JLR,1,,10,3,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,54.52983693,0.05
20261,2022,September,3,Coral City,Outside,JLR,1,,20,3,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,433.2253747,0.05
20277,2022,September,3,Coral City,Outside,JLR,1,,10,1,Caranx_ruber,Jacks,Carnivore,0.0158,2.99,15.44034809,0.016666667
20262,2022,September,3,Coral City,Outside,JLR,1,,10,2,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,33.05337854,0.033333333
20263,2022,September,3,Coral City,Outside,JLR,1,,10,1,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,16.54463106,0.016666667
20264,2022,September,3,Coral City,Outside,JLR,1,,5,12,Scarus_/_Sparisoma,Parrotfish,Herbivore,0.0121,3.028,18.98662573,0.2
20266,2022,September,3,Coral City,Outside,JLR,1,,20,1,Lutjanus_apodus,Snapper,Carnivore,0.0182,3,145.6,0.016666667
20267,2022,September,3,Coral City,Outside,JLR,1,,20,1,Ocyurus_chrysurus,Snapper,Carnivore,0.0295,2.79,125.8043632,0.016666667
20269,2022,September,3,Coral City,Outside,JLR,1,,5,1,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,3.73685738,0.016666667
20270,2022,September,3,Coral City,Outside,JLR,1,,10,4,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,115.5061216,0.066666667
20271,2022,September,3,Coral City,Outside,JLR,1,,5,1,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,2.734929501,0.016666667
20272,2022,September,3,Coral City,Outside,JLR,1,,10,1,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,20.41423563,0.016666667
20268,2022,September,3,Coral City,Outside,JLR,1,,10,2,Melichthys_niger,Triggerfish,Omnivore,0.0257,2.94,44.76752852,0.033333333
20273,2022,September,3,Coral City,Outside,JLR,1,,10,1,Halichoeres_bivittatus,Wrasse,Carnivore,0.0112,3.05,12.56660669,0.016666667
20274,2022,September,3,Coral City,Outside,JLR,1,,10,1,Bodianus_rufus,Wrasse,Carnivore,0.0166,3.08,19.95758961,0.016666667
20275,2022,September,3,Coral City,Outside,JLR,1,,5,14,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,21.92269033,0.233333333
20276,2022,September,3,Coral City,Outside,JLR,1,,10,5,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,69.01921323,0.083333333
20279,2022,September,3,Coral City,Outside,JLR,1,,20,1,Lachnolaimus_maximus,Wrasse,Carnivore,0.0224,2.97,163.7974383,0.016666667
20281,2022,September,3,Coral City,Outside,JLR,2,,10,1,Chaetodon_capistratus,Butterflyfish,Corallivore,0.0234,3.19,36.24230888,0.016666667
20301,2022,September,3,Coral City,Outside,JLR,2,,20,1,Kyphosus_spp.,Chub,Carnivore,0.0138,3.03,120.7813761,0.016666667
20296,2022,September,3,Coral City,Outside,JLR,2,,5,1,Stegastes_planifrons,Damselfish,Herbivore,0.02138,2.96,2.505872175,0.016666667
20297,2022,September,3,Coral City,Outside,JLR,2,,5,1,Microspathodon_chrysurus,Damselfish,Herbivore,0.02291,3.02,2.957430192,0.016666667
20298,2022,September,3,Coral City,Outside,JLR,2,,10,1,Microspathodon_chrysurus,Damselfish,Herbivore,0.02291,3.02,23.98971504,0.016666667
20300,2022,September,3,Coral City,Outside,JLR,2,,10,1,Cantherhines_pullus,Filefish,Omnivore,0.02239,2.87,16.5979363,0.016666667
20288,2022,September,3,Coral City,Outside,JLR,2,,10,2,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,28.34149014,0.033333333
20282,2022,September,3,Coral City,Outside,JLR,2,,10,4,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,72.70644924,0.066666667
20283,2022,September,3,Coral City,Outside,JLR,2,,10,3,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,55.920388,0.05
20284,2022,September,3,Coral City,Outside,JLR,2,,10,4,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,66.10675709,0.066666667
20285,2022,September,3,Coral City,Outside,JLR,2,,10,4,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,87.49699033,0.066666667
20286,2022,September,3,Coral City,Outside,JLR,2,,20,2,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,333.4118308,0.033333333
20287,2022,September,3,Coral City,Outside,JLR,2,,5,8,Scarus_/_Sparisoma,Parrotfish,Herbivore,0.0121,3.028,12.65775049,0.133333333
20289,2022,September,3,Coral City,Outside,JLR,2,,5,2,Lutjanus_apodus,Snapper,Carnivore,0.0182,3,4.55,0.033333333
20290,2022,September,3,Coral City,Outside,JLR,2,,10,1,Lutjanus_apodus,Snapper,Carnivore,0.0182,3,18.2,0.016666667
20299,2022,September,3,Coral City,Outside,JLR,2,,20,10,Lutjanus_mahogoni,Snapper,Carnivore,0.0617,2.65,1729.874722,0.166666667
20292,2022,September,3,Coral City,Outside,JLR,2,,5,4,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,14.94742952,0.066666667
20293,2022,September,3,Coral City,Outside,JLR,2,,10,3,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,86.62959119,0.05
20291,2022,September,3,Coral City,Outside,JLR,2,,10,4,Melichthys_niger,Triggerfish,Omnivore,0.0257,2.94,89.53505705,0.066666667
20294,2022,September,3,Coral City,Outside,JLR,2,,10,1,Bodianus_rufus,Wrasse,Carnivore,0.0166,3.08,19.95758961,0.016666667
20295,2022,September,3,Coral City,Outside,JLR,2,,10,2,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,27.60768529,0.033333333
20313,2022,September,3,Coral City,Outside,JLR,3,,5,1,Holacanthus_tricolor,Angelfish,Omnivore,0.0331,2.95,3.817591953,0.016666667
20314,2022,September,3,Coral City,Outside,JLR,3,,10,3,Holacanthus_tricolor,Angelfish,Omnivore,0.0331,2.95,88.50121816,0.05
20311,2022,September,3,Coral City,Outside,JLR,3,,5,1,Stegastes_planifrons,Damselfish,Herbivore,0.02138,2.96,2.505872175,0.016666667
20312,2022,September,3,Coral City,Outside,JLR,3,,10,4,Stegastes_planifrons,Damselfish,Herbivore,0.02138,2.96,77.99516698,0.066666667
20307,2022,September,3,Coral City,Outside,JLR,3,,10,2,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,28.34149014,0.033333333
20302,2022,September,3,Coral City,Outside,JLR,3,,10,5,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,90.88306155,0.083333333
20315,2022,September,3,Coral City,Outside,JLR,3,,10,1,Caranx_ruber,Jacks,Carnivore,0.0158,2.99,15.44034809,0.016666667
20303,2022,September,3,Coral City,Outside,JLR,3,,10,3,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,49.58006782,0.05
20304,2022,September,3,Coral City,Outside,JLR,3,,10,4,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,87.49699033,0.066666667
20305,2022,September,3,Coral City,Outside,JLR,3,,10,6,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,99.26778636,0.1
20306,2022,September,3,Coral City,Outside,JLR,3,,5,11,Scarus_/_Sparisoma,Parrotfish,Herbivore,0.0121,3.028,17.40440692,0.183333333
20308,2022,September,3,Coral City,Outside,JLR,3,,20,1,Lutjanus_apodus,Snapper,Carnivore,0.0182,3,145.6,0.016666667
20309,2022,September,3,Coral City,Outside,JLR,3,,10,3,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,86.62959119,0.05
20310,2022,September,3,Coral City,Outside,JLR,3,,5,1,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,1.565906452,0.016666667
20574,2022,September,3,Coral City,Outside,VEM,1,,5,1,Stegastes_planifrons,Damselfish,Herbivore,0.02138,2.96,2.505872175,0.016666667
20562,2022,September,3,Coral City,Outside,VEM,1,,10,2,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,36.35322462,0.033333333
20563,2022,September,3,Coral City,Outside,VEM,1,,20,4,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,577.6338329,0.066666667
20564,2022,September,3,Coral City,Outside,VEM,1,,20,1,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,153.3133976,0.016666667
20565,2022,September,3,Coral City,Outside,VEM,1,,10,2,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,33.08926212,0.033333333
20566,2022,September,3,Coral City,Outside,VEM,1,,20,1,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,134.204684,0.016666667
20567,2022,September,3,Coral City,Outside,VEM,1,,5,4,Scarus_/_Sparisoma,Parrotfish,Herbivore,0.0121,3.028,6.328875243,0.066666667
20568,2022,September,3,Coral City,Outside,VEM,1,,30,2,Ocyurus_chrysurus,Snapper,Carnivore,0.0295,2.79,779.8665847,0.033333333
20569,2022,September,3,Coral City,Outside,VEM,1,,5,4,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,14.94742952,0.066666667
20570,2022,September,3,Coral City,Outside,VEM,1,,10,1,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,28.8765304,0.016666667
20571,2022,September,3,Coral City,Outside,VEM,1,,5,2,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,5.469859002,0.033333333
20572,2022,September,3,Coral City,Outside,VEM,1,,10,2,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,40.82847126,0.033333333
20573,2022,September,3,Coral City,Outside,VEM,1,,10,1,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,13.80384265,0.016666667
20575,2022,September,3,Coral City,Outside,VEM,2,,5,1,Chaetodon_capistratus,Butterflyfish,Corallivore,0.0234,3.19,3.971276915,0.016666667
20576,2022,September,3,Coral City,Outside,VEM,2,,10,1,Chaetodon_ocellatus,Butterflyfish,Corallivore,0.0257,3.02,26.91120368,0.016666667
20585,2022,September,3,Coral City,Outside,VEM,2,,5,2,Stegastes_planifrons,Damselfish,Herbivore,0.02138,2.96,5.011744349,0.033333333
20586,2022,September,3,Coral City,Outside,VEM,2,,10,1,Microspathodon_chrysurus,Damselfish,Herbivore,0.02291,3.02,23.98971504,0.016666667
20580,2022,September,3,Coral City,Outside,VEM,2,,20,1,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,122.3477457,0.016666667
20577,2022,September,3,Coral City,Outside,VEM,2,,10,1,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,18.17661231,0.016666667
20578,2022,September,3,Coral City,Outside,VEM,2,,5,1,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,1.861835794,0.016666667
20579,2022,September,3,Coral City,Outside,VEM,2,,5,2,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,4.079214059,0.033333333
20581,2022,September,3,Coral City,Outside,VEM,2,,5,2,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,7.47371476,0.033333333
20582,2022,September,3,Coral City,Outside,VEM,2,,10,1,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,28.8765304,0.016666667
20583,2022,September,3,Coral City,Outside,VEM,2,,20,1,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,223.1431181,0.016666667
20584,2022,September,3,Coral City,Outside,VEM,2,,10,1,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,13.80384265,0.016666667
20594,2022,September,3,Coral City,Outside,VEM,3,,20,2,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,244.6954914,0.033333333
20606,2022,September,3,Coral City,Outside,VEM,3,,30,1,Caranx_ruber,Jacks,Carnivore,0.0158,2.99,412.3344666,0.016666667
20587,2022,September,3,Coral City,Outside,VEM,3,,10,4,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,74.56051734,0.066666667
20588,2022,September,3,Coral City,Outside,VEM,3,,10,5,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,82.63344636,0.083333333
20589,2022,September,3,Coral City,Outside,VEM,3,,10,1,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,21.87424758,0.016666667
20590,2022,September,3,Coral City,Outside,VEM,3,,5,3,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,6.118821088,0.05
20591,2022,September,3,Coral City,Outside,VEM,3,,10,9,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,148.9016795,0.15
20592,2022,September,3,Coral City,Outside,VEM,3,,20,2,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,268.409368,0.033333333
20593,2022,September,3,Coral City,Outside,VEM,3,,5,2,Scarus_/_Sparisoma,Parrotfish,Herbivore,0.0121,3.028,3.164437621,0.033333333
20595,2022,September,3,Coral City,Outside,VEM,3,,10,1,Lutjanus_apodus,Snapper,Carnivore,0.0182,3,18.2,0.016666667
20596,2022,September,3,Coral City,Outside,VEM,3,,20,2,Lutjanus_apodus,Snapper,Carnivore,0.0182,3,291.2,0.033333333
20597,2022,September,3,Coral City,Outside,VEM,3,,30,1,Lutjanus_apodus,Snapper,Carnivore,0.0182,3,491.4,0.016666667
20598,2022,September,3,Coral City,Outside,VEM,3,,30,1,Ocyurus_chrysurus,Snapper,Carnivore,0.0295,2.79,389.9332923,0.016666667
20599,2022,September,3,Coral City,Outside,VEM,3,,5,3,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,11.21057214,0.05
20600,2022,September,3,Coral City,Outside,VEM,3,,10,2,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,57.75306079,0.033333333
20601,2022,September,3,Coral City,Outside,VEM,3,,20,3,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,669.4293543,0.05
20602,2022,September,3,Coral City,Outside,VEM,3,,10,4,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,81.65694253,0.066666667
20603,2022,September,3,Coral City,Outside,VEM,3,,20,8,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,1219.017942,0.133333333
20604,2022,September,3,Coral City,Outside,VEM,3,,10,3,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,41.41152794,0.05
20605,2022,September,3,Coral City,Outside,VEM,3,,20,1,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,121.6841986,0.016666667
19700,2022,September,3,Grundys,Inside,ADC,1,,20,2,Chaetodon_striatus,Butterflyfish,Corallivore,0.0251,3.06,480.6793928,0.033333333
19711,2022,September,3,Grundys,Inside,ADC,1,,20,9,Caranx_ruber,Jacks,Carnivore,0.0158,2.99,1104.025955,0.15
19701,2022,September,3,Grundys,Inside,ADC,1,,5,3,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,5.585507382,0.05
19702,2022,September,3,Grundys,Inside,ADC,1,,10,2,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,33.05337854,0.033333333
19705,2022,September,3,Grundys,Inside,ADC,1,,5,2,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,7.47371476,0.033333333
19706,2022,September,3,Grundys,Inside,ADC,1,,10,2,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,57.75306079,0.033333333
19707,2022,September,3,Grundys,Inside,ADC,1,,30,1,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,737.9937972,0.016666667
19708,2022,September,3,Grundys,Inside,ADC,1,,5,27,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,73.84309653,0.45
19709,2022,September,3,Grundys,Inside,ADC,1,,10,6,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,122.4854138,0.1
19703,2022,September,3,Grundys,Inside,ADC,1,,10,1,Melichthys_niger,Triggerfish,Omnivore,0.0257,2.94,22.38376426,0.016666667
19704,2022,September,3,Grundys,Inside,ADC,1,,20,2,Melichthys_niger,Triggerfish,Omnivore,0.0257,2.94,343.5510706,0.033333333
19710,2022,September,3,Grundys,Inside,ADC,1,,10,1,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,13.80384265,0.016666667
19712,2022,September,3,Grundys,Inside,ADC,1,,10,4,Halichoeres_bivittatus,Wrasse,Carnivore,0.0112,3.05,50.26642675,0.066666667
19727,2022,September,3,Grundys,Inside,ADC,2,,20,1,Microspathodon_chrysurus,Damselfish,Herbivore,0.02291,3.02,194.5967918,0.016666667
19719,2022,September,3,Grundys,Inside,ADC,2,,20,1,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,122.3477457,0.016666667
19713,2022,September,3,Grundys,Inside,ADC,2,,40,2,Haemulon_carbonarium,Grunt,Carnivore,0.01622,2.99,2000.968351,0.033333333
19726,2022,September,3,Grundys,Inside,ADC,2,,20,9,Caranx_ruber,Jacks,Carnivore,0.0158,2.99,1104.025955,0.15
