"","X","date","year","month","day","site","mpa","observer","transect","common_name","sizeclass","count","fish_spp","common_family","foodweb","a","b","biomass","density","Site_Name"
"15",15,"7/17/15","2015",NA,NA,"West Point","Outside",NA,2,"Black durgeon",40,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2636.44972,0.066666667,"West Point"
"16",16,"7/17/15","2015",NA,NA,"West Point","Outside",NA,7,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"West Point"
"17",17,"7/17/15","2015",NA,NA,"West Point","Outside",NA,7,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"West Point"
"18",18,"7/17/15","2015",NA,NA,"West Point","Outside",NA,9,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"West Point"
"19",19,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,2,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Coral City"
"20",20,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,2,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Coral City"
"21",21,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,3,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Coral City"
"22",22,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,4,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Coral City"
"23",23,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,6,"Black durgeon",30,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1131.61738,0.066666667,"Coral City"
"24",24,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,7,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Coral City"
"25",25,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,8,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Coral City"
"26",26,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,10,"Black durgeon",30,3,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1697.42607,0.1,"Coral City"
"27",27,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,10,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Coral City"
"28",28,"7/19/17","2017",NA,NA,"Grundy's Gardens","Inside ",NA,5,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Grundy's Gardens"
"29",29,"7/19/17","2017",NA,NA,"Grundy's Gardens","Inside ",NA,9,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Grundy's Gardens"
"30",30,"7/18/17","2017",NA,NA,"Martha's Finyard","Outside",NA,2,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Martha's Finyard"
"31",31,"7/18/17","2017",NA,NA,"Martha's Finyard","Outside",NA,10,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Martha's Finyard"
"32",32,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,4,"Black durgeon",40,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2636.44972,0.066666667,"Sailfin Miniwall"
"33",33,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,6,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Sailfin Miniwall"
"34",34,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,9,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Sailfin Miniwall"
"35",35,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,9,"Black durgeon",40,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2636.44972,0.066666667,"Sailfin Miniwall"
"36",36,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,10,"Black durgeon",40,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2636.44972,0.066666667,"Sailfin Miniwall"
"37",37,"7/17/17","2017",NA,NA,"Pauls Anchors","Inside ",NA,1,"Black durgeon",30,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1131.61738,0.066666667,"Paul's Anchor"
"38",38,"7/17/17","2017",NA,NA,"Pauls Anchors","Inside ",NA,3,"Black durgeon",30,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1131.61738,0.066666667,"Paul's Anchor"
"39",39,"7/17/17","2017",NA,NA,"Pauls Anchors","Inside ",NA,6,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Paul's Anchor"
"40",40,"7/17/17","2017",NA,NA,"Pauls Anchors","Inside ",NA,8,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Paul's Anchor"
"41",41,"7/17/17","2017",NA,NA,"Pauls Anchors","Inside ",NA,8,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Paul's Anchor"
"42",42,"7/12/17","2017",NA,NA,"Sailfin","Outside",NA,4,"Black durgeon",30,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1131.61738,0.066666667,"Sailfin Reef"
"43",43,"7/12/17","2017",NA,NA,"Snapshot","Outside",NA,8,"Black durgeon",30,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1131.61738,0.066666667,"Snap Shot"
"44",44,"7/12/17","2017",NA,NA,"Snapshot","Outside",NA,1,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Snap Shot"
"45",45,"7/12/17","2017",NA,NA,"Snapshot","Outside",NA,6,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Snap Shot"
"46",46,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,8,"Black durgeon",20,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,171.77554,0.033333333,"Sailfin Miniwall"
"47",47,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,8,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Sailfin Miniwall"
"48",48,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,8,"Black durgeon",40,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2636.44972,0.066666667,"Sailfin Miniwall"
"49",49,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,1,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Sailfin Miniwall"
"50",50,"7/19/17","2017",NA,NA,"West Point","Outside",NA,10,"Black durgeon",30,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1131.61738,0.066666667,"West Point"
"51",51,"7/19/17","2017",NA,NA,"West Point","Outside",NA,10,"Black durgeon",40,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2636.44972,0.066666667,"West Point"
"52",52,"7/19/17","2017",NA,NA,"West Point","Outside",NA,6,"Black durgeon",30,4,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2263.23475,0.133333333,"West Point"
"53",53,"7/19/17","2017",NA,NA,"West Point","Outside",NA,6,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"West Point"
"54",54,"","2018",NA,NA,"Lucas Ledge","Outside",NA,1,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Luca's Ledges"
"55",55,"","2018",NA,NA,"Lucas Ledge","Outside",NA,1,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Luca's Ledges"
"56",56,"","2018",NA,NA,"Lucas Ledge","Outside",NA,2,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Luca's Ledges"
"57",57,"","2018",NA,NA,"Lucas Ledge","Outside",NA,4,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Luca's Ledges"
"58",58,"","2018",NA,NA,"Lucas Ledge","Outside",NA,7,"Black durgeon",30,5,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2829.04344,0.166666667,"Luca's Ledges"
"59",59,"","2018",NA,NA,"Lucas Ledge","Outside",NA,11,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Luca's Ledges"
"60",60,"","2018",NA,NA,"Lucas Ledge","Outside",NA,12,"Black durgeon",30,3,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1697.42607,0.1,"Luca's Ledges"
"61",61,"","2018",NA,NA,"Lucas Ledge","Outside",NA,13,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Luca's Ledges"
"62",62,"","2018",NA,NA,"Lucas Ledge","Outside",NA,14,"Black durgeon",30,4,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2263.23475,0.133333333,"Luca's Ledges"
"63",63,"","2018",NA,NA,"Coral City","Outside",NA,1,"Black durgeon",20,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,171.77554,0.033333333,"Coral City"
"64",64,"","2018",NA,NA,"Coral City","Outside",NA,2,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Coral City"
"65",65,"","2018",NA,NA,"Coral City","Outside",NA,3,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Coral City"
"66",66,"","2018",NA,NA,"Coral City","Outside",NA,5,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Coral City"
"67",67,"","2018",NA,NA,"Coral City","Outside",NA,7,"Black durgeon",20,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,343.55107,0.066666667,"Coral City"
"68",68,"","2018",NA,NA,"Coral City","Outside",NA,7,"Black durgeon",40,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2636.44972,0.066666667,"Coral City"
"69",69,"","2018",NA,NA,"Coral City","Outside",NA,8,"Black durgeon",30,4,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2263.23475,0.133333333,"Coral City"
"70",70,"","2018",NA,NA,"West Point","Outside",NA,3,"Black durgeon",30,20,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,11316.17377,0.666666667,"West Point"
"71",71,"","2018",NA,NA,"West Point","Outside",NA,8,"Black durgeon",30,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1131.61738,0.066666667,"West Point"
"72",72,"","2018",NA,NA,"West Point","Outside",NA,11,"Black durgeon",20,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,171.77554,0.033333333,"West Point"
"73",73,"","2018",NA,NA,"Grundy's Gardens","Inside ",NA,6,"Black durgeon",30,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1131.61738,0.066666667,"Grundy's Gardens"
"74",74,"","2018",NA,NA,"Grundy's Gardens","Inside ",NA,9,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Grundy's Gardens"
"75",75,"","2018",NA,NA,"Grundy's Gardens","Inside ",NA,10,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Grundy's Gardens"
"76",76,"","2018",NA,NA,"Meadows","Inside ",NA,8,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"The Meadows"
"77",77,"","2018",NA,NA,"Joy's Joy","Outside",NA,1,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Joy's Joy"
"78",78,"","2018",NA,NA,"Joy's Joy","Outside",NA,2,"Black durgeon",20,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,171.77554,0.033333333,"Joy's Joy"
"79",79,"","2018",NA,NA,"Joy's Joy","Outside",NA,2,"Black durgeon",30,3,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1697.42607,0.1,"Joy's Joy"
"80",80,"","2018",NA,NA,"Joy's Joy","Outside",NA,2,"Black durgeon",40,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2636.44972,0.066666667,"Joy's Joy"
"81",81,"7/19/17","2017",NA,NA,"Grundy's Gardens","Inside ",NA,4,"Black Margate",50,1,"Anisotremus surinamensis","Grunt","Carnivore",0.0245,2.87,1841.6623,0.033333333,"Grundy's Gardens"
"82",82,"","2018",NA,NA,"West Point","Outside",NA,8,"Black Margate",30,2,"Anisotremus surinamensis","Grunt","Carnivore",0.0245,2.87,850.22541,0.066666667,"West Point"
"83",83,"","2018",NA,NA,"West Point","Outside",NA,9,"Black Margate",30,2,"Anisotremus surinamensis","Grunt","Carnivore",0.0245,2.87,850.22541,0.066666667,"West Point"
"84",84,"7/17/15","2015",NA,NA,"West Point","Outside",NA,1,"French Angelfish",40,1,"Pomacanthus paru","Angelfish","Omnivore",0.049,2.96,2705.7873,0.033333333,"West Point"
"85",85,"","2018",NA,NA,"Coral City","Outside",NA,5,"French Angelfish",50,1,"Pomacanthus paru","Angelfish","Omnivore",0.049,2.96,5237.78048,0.033333333,"Coral City"
"86",86,"","2018",NA,NA,"Grundy's Gardens","Inside ",NA,8,"French Angelfish",20,1,"Pomacanthus paru","Angelfish","Omnivore",0.049,2.96,347.73217,0.033333333,"Grundy's Gardens"
"87",87,"","2018",NA,NA,"Meadows","Inside ",NA,6,"French Angelfish",40,1,"Pomacanthus paru","Angelfish","Omnivore",0.049,2.96,2705.7873,0.033333333,"The Meadows"
"88",88,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,8,"Lionfish",10,1,"Pterois volitans","Scorpionfish","Carnivore",0.0049,3.26,8.91653,0.033333333,"Coral City"
"89",89,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,8,"Lionfish",20,2,"Pterois volitans","Scorpionfish","Carnivore",0.0049,3.26,170.83776,0.066666667,"Coral City"
"90",90,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,8,"Lionfish",30,1,"Pterois volitans","Scorpionfish","Carnivore",0.0049,3.26,320.34015,0.033333333,"Coral City"
"91",91,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,10,"Lionfish",30,1,"Pterois volitans","Scorpionfish","Carnivore",0.0049,3.26,320.34015,0.033333333,"Sailfin Miniwall"
"92",92,"7/12/17","2017",NA,NA,"Sailfin","Outside",NA,8,"Lionfish",30,1,"Pterois volitans","Scorpionfish","Carnivore",0.0049,3.26,320.34015,0.033333333,"Sailfin Reef"
"93",93,"","2018",NA,NA,"Lucas Ledge","Outside",NA,4,"Lionfish",40,1,"Pterois volitans","Scorpionfish","Carnivore",0.0049,3.26,818.29831,0.033333333,"Luca's Ledges"
"94",94,"7/18/17","2017",NA,NA,"Martha's Finyard","Outside",NA,1,"Ocean triggerfish",40,1,"Canthidermis sufflamen","Triggerfish","Carnivore",0.0427,2.84,1514.53129,0.033333333,"Martha's Finyard"
"95",95,"7/18/17","2017",NA,NA,"Martha's Finyard","Outside",NA,1,"Ocean triggerfish",50,1,"Canthidermis sufflamen","Triggerfish","Carnivore",0.0427,2.84,2854.32018,0.033333333,"Martha's Finyard"
"96",96,"7/13/17","2017",NA,NA,"Meadows","Inside ",NA,10,"Ocean triggerfish",40,1,"Canthidermis sufflamen","Triggerfish","Carnivore",0.0427,2.84,1514.53129,0.033333333,"The Meadows"
"97",97,"7/18/17","2017",NA,NA,"Martha's Finyard","Outside",NA,3,"Ocean triggerfish",40,1,"Canthidermis sufflamen","Triggerfish","Carnivore",0.0427,2.84,1514.53129,0.033333333,"Martha's Finyard"
"98",98,"7/18/17","2017",NA,NA,"Martha's Finyard","Outside",NA,3,"Ocean triggerfish",50,1,"Canthidermis sufflamen","Triggerfish","Carnivore",0.0427,2.84,2854.32018,0.033333333,"Martha's Finyard"
"99",99,"","2018",NA,NA,"Lucas Ledge","Outside",NA,12,"Ocean triggerfish",40,2,"Canthidermis sufflamen","Triggerfish","Carnivore",0.0427,2.84,3029.06258,0.066666667,"Luca's Ledges"
"100",100,"","2018",NA,NA,"West Point","Outside",NA,4,"Permit",50,1,"Trachinotus falcatus","Jack","Carnivore",0.0209,2.91,1837.16854,0.033333333,"West Point"
"101",101,"","2018",NA,NA,"West Point","Outside",NA,6,"Permit",50,7,"Trachinotus falcatus","Jack","Carnivore",0.0209,2.91,12860.17975,0.233333333,"West Point"
"102",102,"","2018",NA,NA,"Meadows","Inside ",NA,1,"Permit",50,1,"Trachinotus falcatus","Jack","Carnivore",0.0209,2.91,1837.16854,0.033333333,"The Meadows"
"103",103,"","2018",NA,NA,"Meadows","Inside ",NA,7,"Permit",50,1,"Trachinotus falcatus","Jack","Carnivore",0.0209,2.91,1837.16854,0.033333333,"The Meadows"
"104",104,"7/12/17","2017",NA,NA,"ICON","Inside ",NA,4,"Queen triggerfish",40,1,"Balistes vetula","Triggerfish","Carnivore",0.0398,2.88,1636.12261,0.033333333,"Icon"
"105",105,"7/12/17","2017",NA,NA,"ICON","Inside ",NA,9,"Queen triggerfish",50,1,"Balistes vetula","Triggerfish","Carnivore",0.0398,2.88,3111.11944,0.033333333,"Icon"
"106",106,"","2018",NA,NA,"Coral City","Outside",NA,3,"Queen triggerfish",50,1,"Balistes vetula","Triggerfish","Carnivore",0.0398,2.88,3111.11944,0.033333333,"Coral City"
"107",107,"","2018",NA,NA,"Coral City","Outside",NA,7,"Queen triggerfish",40,1,"Balistes vetula","Triggerfish","Carnivore",0.0398,2.88,1636.12261,0.033333333,"Coral City"
"108",108,"","2018",NA,NA,"West Point","Outside",NA,3,"Queen triggerfish",40,2,"Balistes vetula","Triggerfish","Carnivore",0.0398,2.88,3272.24523,0.066666667,"West Point"
"109",109,"","2018",NA,NA,"West Point","Outside",NA,4,"Queen triggerfish",40,1,"Balistes vetula","Triggerfish","Carnivore",0.0398,2.88,1636.12261,0.033333333,"West Point"
"110",110,"","2018",NA,NA,"Jigsaw","Outside",NA,9,"Queen triggerfish",50,1,"Balistes vetula","Triggerfish","Carnivore",0.0398,2.88,3111.11944,0.033333333,"Jigsaw Puzzle"
"111",111,"7/19/15","2015",NA,NA,"Meadows","Inside ",NA,8,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"The Meadows"
"112",112,"7/15/15","2015",NA,NA,"Snapshot","Outside",NA,9,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"Snap Shot"
"113",113,"7/17/15","2015",NA,NA,"West Point","Outside",NA,1,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"West Point"
"114",114,"7/17/15","2015",NA,NA,"West Point","Outside",NA,4,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"West Point"
"115",115,"7/20/17","2017",NA,NA,"Coral City","Outside",NA,5,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"Coral City"
"116",116,"7/19/17","2017",NA,NA,"Grundy's Gardens","Inside ",NA,2,"Rock beauty Angelfish",10,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,29.50041,0.033333333,"Grundy's Gardens"
"117",117,"7/12/17","2017",NA,NA,"ICON","Inside ",NA,7,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"Icon"
"118",118,"7/12/17","2017",NA,NA,"ICON","Inside ",NA,8,"Rock beauty Angelfish",30,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,753.93811,0.033333333,"Icon"
"119",119,"7/18/17","2017",NA,NA,"Jigsaw","Outside",NA,2,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"Jigsaw Puzzle"
"120",120,"7/18/17","2017",NA,NA,"Martha's Finyard","Outside",NA,8,"Rock beauty Angelfish",20,2,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,455.92822,0.066666667,"Martha's Finyard"
"121",121,"7/13/17","2017",NA,NA,"Mixing Bowl","Inside ",NA,4,"Rock beauty Angelfish",30,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,753.93811,0.033333333,"Sailfin Miniwall"
"122",122,"7/17/17","2017",NA,NA,"Pauls Anchors","Inside ",NA,1,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"Paul's Anchor"
"123",123,"7/12/17","2017",NA,NA,"Snapshot","Outside",NA,6,"Rock beauty Angelfish",10,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,29.50041,0.033333333,"Snap Shot"
"124",124,"7/19/17","2017",NA,NA,"West Point","Outside",NA,10,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"West Point"
"125",125,"7/19/17","2017",NA,NA,"West Point","Outside",NA,6,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"West Point"
"126",126,"","2018",NA,NA,"Lucas Ledge","Outside",NA,6,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"Luca's Ledges"
"127",127,"","2018",NA,NA,"Coral City","Outside",NA,8,"Rock beauty Angelfish",30,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,753.93811,0.033333333,"Coral City"
"128",128,"","2018",NA,NA,"West Point","Outside",NA,2,"Rock beauty Angelfish",40,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,1761.59054,0.033333333,"West Point"
"129",129,"","2018",NA,NA,"West Point","Outside",NA,3,"Rock beauty Angelfish",30,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,753.93811,0.033333333,"West Point"
"130",130,"","2018",NA,NA,"West Point","Outside",NA,4,"Rock beauty Angelfish",40,2,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,3523.18107,0.066666667,"West Point"
"131",131,"","2018",NA,NA,"Jigsaw","Outside",NA,1,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"Jigsaw Puzzle"
"132",132,"","2018",NA,NA,"Jigsaw","Outside",NA,3,"Rock beauty Angelfish",20,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,227.96411,0.033333333,"Jigsaw Puzzle"
"133",133,"","2018",NA,NA,"Jigsaw","Outside",NA,4,"Rock beauty Angelfish",10,1,"Holacanthus tricolor","Angelfish","Omnivore",0.0331,2.95,29.50041,0.033333333,"Jigsaw Puzzle"
"134",134,"7/18/15","2015",NA,NA,"Mixing Bowl","Inside ",NA,7,"Saucereye Porgy",30,1,"Calamus calamus","Porgy","Carnivore",0.0288,2.89,534.90039,0.033333333,"Sailfin Miniwall"
"135",135,"7/18/17","2017",NA,NA,"Jigsaw","Outside",NA,8,"Saucereye Porgy",30,1,"Calamus calamus","Porgy","Carnivore",0.0288,2.89,534.90039,0.033333333,"Jigsaw Puzzle"
"136",136,"7/17/17","2017",NA,NA,"Pauls Anchors","Inside ",NA,7,"Saucereye porgy",40,1,"Calamus calamus","Porgy","Carnivore",0.0288,2.89,1228.41713,0.033333333,"Paul's Anchor"
